doc_id,title,year,doi,studied_genera,n_studied_genera,regions_detected,n_regions_detected,unassigned_genera,single_biogeographic_region,article_region_assignment
159,Human-mediated dispersal of Geniotrigona thoracica (Apidae: Meliponini) colonies promotes high genetic diversity and reduces population structuring in managed populations,2025,10.7717/peerj.20460,Geniotrigona,1,Indo-Australasian,1,,Indo-Australasian,Indo-Australasian
160,"Phylogenetic and Morphological Characteristics Reveal Cryptic Speciation in Stingless Bee, Tetragonula laeviceps s.l. Smith 1857 (Hymenoptera; Meliponinae)",2023,10.3390/insects14050438,Tetragonula,1,Indo-Australasian,1,,Indo-Australasian,Indo-Australasian
161,"The partial mitochondrial sequence of the Old World stingless bee, Tetragonula pagdeni",2013,10.1007/s12041-013-0243-1,Tetragonula,1,Indo-Australasian,1,,Indo-Australasian,Indo-Australasian
162,"Effect of bee species on the physicochemical, bioactive, and microbiological properties of longan honey in Thailand",2026,10.1016/j.jfca.2026.108998,Heterotrigona; Tetragonula,2,Indo-Australasian,1,,Indo-Australasian,Indo-Australasian
163,"Cytogenetic characterization of two partamona species (Hymenoptera, Apinae, Meliponini) by fluorochrome staining and localization of 18S rDNA Clusters by FISH",2005,10.1508/cytologia.70.373,Partamona,1,Neotropical,1,,Neotropical,Neotropical
164,"Longitudinal differentiation in Melipona mandacaia (Hymenoptera, Meliponini) chromosomes",2003,10.1034/j.1601-5223.2003.01699.x,Melipona,1,Neotropical,1,,Neotropical,Neotropical
165,Identification of chemosensory genes in the stingless bee Tetragonisca fiebrigi,2024,10.1093/g3journal/jkae060,Tetragonisca,1,Neotropical,1,,Neotropical,Neotropical
166,"Maturation of honey from Uruçú-Amarela (Melipona mondury): Metagenomics, metabolomics by NMR 1H, physicochemical and antioxidant properties",2023,10.1016/j.fochms.2022.100157,Melipona,1,Neotropical,1,,Neotropical,Neotropical
167,"Karyotypes and Chromosomal Mapping of Some Repetitive DNAs in Two Stingless Bee Species (Apidae: Meliponini), with the Description of a B Chromosome in Plebeia Genus",2025,10.1159/000542295,Frieseomelitta; Plebeia,2,Neotropical,1,,Neotropical,Neotropical
168,"Glycerol-3-phosphate dehydrogenase (G-3-PDH; EC 1.1.1.8) variation in adult Plebeia droryana bees (Apidae, hymenoptera)",1989,10.1007/bf02399676,Plebeia,1,Neotropical,1,,Neotropical,Neotropical
169,Cytotaxonomy and karyotype evolution in Neotropical Meliponini (Hymenoptera: Apidae) inferred by chromosomal mapping of 18S rDNA and five microsatellites,2024,10.1080/00218839.2023.2179228,Tetragonisca,1,Neotropical,1,,Neotropical,Neotropical
170,Caste-specific gene expression in the stingless bee Melipona quadrifasciata - Are there common patterns in highly eusocial bees?,2004,10.1007/s00040-004-0771-z,Melipona,1,Neotropical,1,,Neotropical,Neotropical
171,"Whole-Genome sequence of Bacillus sp. SDLI1, isolated from the social bee Scaptotrigona depilis",2016,10.1128/genomea.00174-16,Scaptotrigona,1,Neotropical,1,,Neotropical,Neotropical
172,Positive selection in cytochrome P450 genes is associated with gonad phenotype and mating strategy in social bees,2023,10.1038/s41598-023-32898-6,Melipona,1,Neotropical,1,,Neotropical,Neotropical
173,Multilocus species delimitation in Mesoamerican Scaptotrigona stingless bees (Apidae: Meliponini) supports the existence of cryptic species,2017,10.1111/syen.12201,Scaptotrigona,1,Neotropical,1,,Neotropical,Neotropical
174,Isolation and characterization of microsatellite markers from the stingless bee Nannotrigona testaceicornis,2009,10.1007/s12686-009-9023-x,Nannotrigona,1,Neotropical,1,,Neotropical,Neotropical
175,Structural Variations in Complete Mitogenome of Stingless Bees Serve as Auxiliary Molecular Markers for Generic Systematics,2026,10.2478/jas-2026-0004,Frieseomelitta; Lepidotrigona; Melipona; Tetragonisca; Tetragonula,5,Indo-Australasian; Neotropical,2,,NA,Multi-region article
176,The evolution of haploid chromosome numbers in Meliponini,2019,10.1371/journal.pone.0224463,Melipona,1,Neotropical,1,,Neotropical,Neotropical
177,Occurrence of deformed wing virus variants in the stingless bee melipona subnitida and honey bee Apis mellifera populations in Brazil,2019,10.1099/jgv.0.001206,Melipona,1,Neotropical,1,,Neotropical,Neotropical
178,Genetic variability in captive populations of the stingless bee Tetragonisca angustula,2016,10.1007/s10709-016-9908-z,Tetragonisca,1,Neotropical,1,,Neotropical,Neotropical
179,"Mitochondrial DNA characterization of two Partamona species (Hymenoptera, Apidae, Meliponini) by PCR+RFLP and sequencing",2005,10.1051/apido:2005020,Partamona,1,Neotropical,1,,Neotropical,Neotropical
180,Resolving taxonomic ambiguity and cryptic speciation of Hypotrigona species through morphometrics and DNA barcoding; [Resolviendo la ambigüedad taxonómica y la especiación críptica de las especies de Hypotrigona a través de la morfometría y el código de barras de ADN],2018,10.1080/00218839.2018.1426348,Hypotrigona,1,Afrotropical,1,,Afrotropical,Afrotropical
181,"Comparative cytogenetic analysis reveals chromosomal variability in five stingless bees of the genus Trigona (Apidae, Apinae, Meliponini)",2023,10.1007/s13592-023-01002-2,Trigona,1,Neotropical,1,,Neotropical,Neotropical
182,"Analyses of G-bands in Chromosomes of the Melipona quadrifasciata anthidioides Lepeletier (Hymenoptera, Apidae, Meliponinae)",1979,10.1508/cytologia.44.21,Melipona,1,Neotropical,1,,Neotropical,Neotropical
183,Chromosomal variation and cytogenetics of plebeia lucii and P. phrynostoma (Hymenoptera: Apidae),2013,10.1653/024.096.0439,Plebeia,1,Neotropical,1,,Neotropical,Neotropical
184,Transcriptomic analysis of Malpighian tubules from the stingless bee Melipona scutellaris reveals thiamethoxam-induced damages,2022,10.1016/j.scitotenv.2022.158086,Melipona,1,Neotropical,1,,Neotropical,Neotropical
185,Epigenetic modifications and their relation to caste and sex determination and adult division of labor in the stingless bee Melipona scutellaris,2017,10.1590/1678-4685-gmb-2016-0242,Melipona,1,Neotropical,1,,Neotropical,Neotropical
186,"Potential DNA Barcoding of Local Stingless Honeybee (Tantadan) from Kiulu, Sabah using 28S Ribosomal DNA",2019,10.1088/1742-6596/1358/1/012023,Heterotrigona; Lepidotrigona; Tetragonula,3,Indo-Australasian,1,,Indo-Australasian,Indo-Australasian
187,"Cytogenetic Analysis in Trigona spinipes Fabricius (Hymenoptera, Meliponina) Reveals Intraspecific Variation",2021,10.1007/s13744-021-00853-7,Trigona,1,Neotropical,1,,Neotropical,Neotropical
188,Retroelement expansions underlie genome evolution in stingless bees,2026,10.1186/s12864-025-12478-w,Melipona,1,Neotropical,1,,Neotropical,Neotropical
189,Diploid male production of two amazonian melipona bees (Hymenoptera: Apidae),2012,10.1155/2012/484618,Melipona,1,Neotropical,1,,Neotropical,Neotropical
190,Sex determination in bees. IV. Genetic control of juvenile hormone production in Melipona quadrifasciata (Apidae),1975,,Melipona,1,Neotropical,1,,Neotropical,Neotropical
191,"Characterization of microsatellite loci for the stingless bee Scaura latitarsis (Hymenoptera, Apidae, Meliponini)",2012,10.3897/jhr.30.3870,Plebeia; Scaura; Schwarziana,3,Neotropical,1,,Neotropical,Neotropical
192,"Genetic variability in Melipona quinquefasciata (Hymenoptera, Apidae, Meliponini) from northeastern Brazil determined using the first internal transcribed spacer (ITS1)",2009,10.4238/vol8-2kerr025,Melipona,1,Neotropical,1,,Neotropical,Neotropical
193,mt-COI heteroplasmy characterization of Tetragonisca angustula (Hymenoptera: Apidae),2025,10.1007/s13592-025-01181-0,Tetragonisca,1,Neotropical,1,,Neotropical,Neotropical
194,Tailed bacteriophages (Caudoviricetes) dominate the microbiome of a diseased stingless bee,2023,10.1590/1678-4685-gmb-2023-0120,Melipona,1,Neotropical,1,,Neotropical,Neotropical
195,Bacterial communities of indoor surface of stingless bee nests,2021,10.1371/journal.pone.0252933,Frieseomelitta; Melipona; Tetragonisca; Trigona,4,Neotropical,1,,Neotropical,Neotropical
196,Characterization of sex-specific variants of doublesex and feminizer genes in stingless bee species,2020,10.1007/s13592-020-00735-8,Frieseomelitta; Melipona; Scaptotrigona,3,Neotropical,1,,Neotropical,Neotropical
197,The nuclear and mitochondrial genomes of Frieseomelitta varia - A highly eusocial stingless bee (Meliponini) with a permanently sterile worker caste,2020,10.1186/s12864-020-06784-8,Frieseomelitta,1,Neotropical,1,,Neotropical,Neotropical
198,Bacterial microbiota associated with the reproductive tissue of stingless bees,2025,10.1007/s13592-025-01228-2,Tetragonula,1,Indo-Australasian,1,,Indo-Australasian,Indo-Australasian
199,Exploring the Potential of Alcohol-Fermenting Yeast Isolated from Heterotrigona itama Stingless Bees for Beverage Production,2024,10.7454/mss.v28i1.2199,Heterotrigona,1,Indo-Australasian,1,,Indo-Australasian,Indo-Australasian
200,Investigating the molecular basis of cleptobiosis in eusocial stingless bees (Apidae: Hymenoptera),2025,10.1016/j.cbd.2025.101645,Lestrimelitta; Nannotrigona; Scaptotrigona; Tetragonisca,4,Neotropical,1,,Neotropical,Neotropical
201,"New occurrence of B chromosomes in Partamona helleri (Friese, 1900) (Hymenoptera, Meliponini)",2009,10.1590/s1415-47572009005000065,Partamona,1,Neotropical,1,,Neotropical,Neotropical
202,Comparative analysis of the gut microbiota of the sympatric stingless bee species Melipona beecheii and Melipona yucatanica,2026,10.1007/s42770-026-01905-z,Melipona,1,Neotropical,1,,Neotropical,Neotropical
203,The Complete Mitochondrial Genome of Lepidotrigona flavibasis (Hymenoptera: Meliponini) and High Gene Rearrangement in Lepidotrigona Mitogenomes,2021,10.1093/jisesa/ieab038,Lepidotrigona; Melipona,2,Indo-Australasian; Neotropical,2,,NA,Multi-region article
204,Taxonomic patterns of host plants and its impact on honey properties by two sympatric Afrotropical stingless bee species in Zanzibar (Tanzania),2024,10.1111/aje.13257,Hypotrigona; Meliponula,2,Afrotropical,1,,Afrotropical,Afrotropical
205,Inter- and intra-population B chromosome variability in Partamona helleri (Apidae: Meliponini),2021,10.1007/s13592-021-00904-3,Partamona,1,Neotropical,1,,Neotropical,Neotropical
206,Insights into miRNAs of the Stingless Bee Melipona quadrifasciata,2025,10.3390/ncrna11030048,Melipona,1,Neotropical,1,,Neotropical,Neotropical
207,"Unprecedented record of ten novel B chromosomes in the stingless bee Partamona helleri (Apidae, Meliponini)",2014,10.1007/s13592-013-0257-y,Partamona,1,Neotropical,1,,Neotropical,Neotropical
208,"Genetic differentiation in the stingless bee, scaptotrigona xanthotricha moure, 1950 (Apidae, Meliponini): A species with wide geographic distribution in the atlantic rainforest",2014,10.1093/jhered/esu031,Scaptotrigona,1,Neotropical,1,,Neotropical,Neotropical
209,Insights from Melipona bicolor hybrid genome assembly: a stingless bee genome with chromosome-level scaffold,2024,10.1186/s12864-024-10075-x,Melipona,1,Neotropical,1,,Neotropical,Neotropical
210,"Molecular Marker to identify two stingless bee species: Tetragonisca angustula and Tetragoniscafiebrigi (Hymenoptera, Meliponinae)",2012,10.13102/sociobiology.v59i1.671,Tetragonisca,1,Neotropical,1,,Neotropical,Neotropical
211,"Combining morphology and DNA barcoding resolves the taxonomy of Western Malagasy Liotrigona Moure, 1961 (Hymenoptera: Apidae: Meliponini)",2010,10.5733/afin.051.0210,Liotrigona,1,Afrotropical,1,,Afrotropical,Afrotropical
212,"Allozyme variation in the stingless bee Trigona fuscobalteata (hymenoptera, apidae) from Peninsular Malaysia",1986,10.1016/0305-0491(86)90307-x,Trigona,1,Neotropical,1,,Neotropical,Neotropical
213,Sex determination in bees. III. Caste determination and genetic control in Melipona,1974,10.1007/bf02331565,Melipona,1,Neotropical,1,,Neotropical,Neotropical
214,Genetic architecture of the Tetragonula carbonaria species complex of Australian stingless bees (Hymenoptera: Apidae: Meliponini),2014,10.1111/bij.12292,Tetragonula,1,Indo-Australasian,1,,Indo-Australasian,Indo-Australasian
215,"Apilactobacillus apisilvae sp. nov., Nicolia spurrieriana gen. nov. sp. nov., Bombilactobacillus folatiphilus sp. nov. and Bombilactobacillus thymidiniphilus sp. nov., four new lactic acid bacterial isolates from stingless bees Tetragonula carbonaria and Austroplebeia australis",2022,10.1099/ijsem.0.005588,Austroplebeia; Tetragonula,2,Indo-Australasian,1,,Indo-Australasian,Indo-Australasian
216,"Genetic variability in Melipona scutellaris from Recôncavo, Bahia, Brazil",2013,10.4238/2013.september.10.1,Melipona,1,Neotropical,1,,Neotropical,Neotropical
217,"First karyotype characterization of four species of Partamona (Friese, 1980) (Hymenoptera, Apidae, Meliponinae) in Mato Grosso State, Brazil",1999,,Partamona,1,Neotropical,1,,Neotropical,Neotropical
218,"Isolation, Molecular Identification, and Enzymatic Activity of Microorganisms Associated with the Gut of Stingless Bees Tetragonisca angustula Latreille, 1811",2025,10.1007/s13744-025-01342-x,Tetragonisca,1,Neotropical,1,,Neotropical,Neotropical
219,Prevalence of begomoviruses in Trigona fuscipennis and Trigona fulviventris visitors of Jatropha curcas,2023,10.1080/00218839.2020.1756181,Trigona,1,Neotropical,1,,Neotropical,Neotropical
220,"Genetic diversity of Melipona mandacaia SMITH 1863 (Hymenoptera, Apidae), an endemic bee species from Brazilian Caatinga, using ISSR",2012,10.1155/2012/372138,Melipona,1,Neotropical,1,,Neotropical,Neotropical
221,Effect of low temperature on male meiosis in melipona marginata,1972,10.1080/00218839.1972.11099705,Melipona,1,Neotropical,1,,Neotropical,Neotropical
222,Identification of Potential Medicinal Plant Species in Multiflora Trigona Species Honey from Riau Using a Metabarcoding Approach,2025,10.26538/tjnpr/v9i3.39,Trigona,1,Neotropical,1,,Neotropical,Neotropical
223,Complete mitochondrial genome of the stingless bee Lepidotrigona terminata (Hymenoptera: Meliponinae) and phylogenetic analysis,2020,10.1080/23802359.2020.1715298,Lepidotrigona,1,Indo-Australasian,1,,Indo-Australasian,Indo-Australasian
224,Contrasting patterns of foraging behavior in neotropical stingless bees using pollen and honey metabarcoding,2023,10.1038/s41598-023-41304-0,Melipona; Scaptotrigona; Tetragonisca,3,Neotropical,1,,Neotropical,Neotropical
225,Genetic and morphometric variation in Schwarziana quadripunctata and Schwarziana mourei (Hymenoptera: Apidae: Meliponini),2022,10.1007/s00040-022-00878-0,Schwarziana,1,Neotropical,1,,Neotropical,Neotropical
226,Microbial communities of three sympatric Australian stingless bee species,2014,10.1371/journal.pone.0105718,Austroplebeia; Tetragonula,2,Indo-Australasian,1,,Indo-Australasian,Indo-Australasian
227,Transferability of microsatellite primers developed for stingless bees to four other species of the genus Melipona,2011,10.4238/2011.november.22.11,Melipona,1,Neotropical,1,,Neotropical,Neotropical
228,"Karyotype characterization of Trigona fulviventris Guérin, 1835 (Hymenoptera, Meliponini) by C banding and fluorochrome staining: Report of a new chromosome number in the genus",2005,10.1590/s1415-47572005000300009,Trigona,1,Neotropical,1,,Neotropical,Neotropical
229,"Hive Transplantation Has Minimal Impact on the Core Gut Microbiome of the Australian Stingless Bee, Tetragonula carbonaria",2023,10.1007/s00248-023-02222-w,Tetragonula,1,Indo-Australasian,1,,Indo-Australasian,Indo-Australasian
230,Origin of males in Melipona subnitida estimated from data of an isozymic polymorphic system,1976,10.1007/bf00055470,Melipona,1,Neotropical,1,,Neotropical,Neotropical
231,Evidences that genetically determined melipona queens can become workers.,1966,,,0,,0,,NA,No region assigned
232,"Phylogeography and historical demography of the neotropical stingless bee Melipona quadrifasciata (Hymenoptera, Apidae): Incongruence between morphology and mitochondrial DNA",2010,10.1051/apido/2010001,Melipona,1,Neotropical,1,,Neotropical,Neotropical
233,Genetic structure of the commercial stingless bee Heterotrigona itama (Apidae: Meliponini) in Thailand,2024,10.1371/journal.pone.0312386,Heterotrigona,1,Indo-Australasian,1,,Indo-Australasian,Indo-Australasian
234,Morphometric and genetic analyses show differentiation of the widely distributed stingless bee Nannotrigona perilampoides (Hymenoptera: Meliponini) across geographic regions in Mexico,2022,10.1080/00218839.2022.2093576,Nannotrigona,1,Neotropical,1,,Neotropical,Neotropical
235,"New Penicillium and Talaromyces species from honey, pollen and nests of stingless bees",2018,10.1007/s10482-018-1081-1,Melipona,1,Neotropical,1,,Neotropical,Neotropical
236,"RAPD polymorphism in Tetragonisca angustula (Hymenoptera; Meliponinae, Trigonini) populations",2006,,Tetragonisca,1,Neotropical,1,,Neotropical,Neotropical
237,Characterisation of probiotic potential and whole genome analysis of lactic acid bacteria isolated from Tetragonula Laeviceps and Heterotrigona Itama bee bread,2025,10.1007/s10482-025-02191-9,Heterotrigona; Tetragonula,2,Indo-Australasian,1,,Indo-Australasian,Indo-Australasian
238,"Preliminary characterization of mitochondrial genome of Melipona scutellaris, a Brazilian stingless bee",2014,10.1155/2014/927546,Melipona,1,Neotropical,1,,Neotropical,Neotropical
239,"Mitochondrial and nuclear DNA characterization in the Melipona species (hymenoptera, meliponini) by RFLP analysis",2002,10.1034/j.1601-5223.2002.01685.x,Melipona,1,Neotropical,1,,Neotropical,Neotropical
240,"Analysis of the intercaste transcriptional profile of Melipona scutellaris latreille, 1811 (hymenoptera, apidae, meliponini) by mRNA differential display",2009,10.4067/s0716-97602009000100011,Melipona,1,Neotropical,1,,Neotropical,Neotropical
241,"Karyotypic description of the stingless bee Oxytrigona cf. flaveola (Hymenoptera, Apidae, Meliponina) of a colony from Tangará da Serra, Mato Grosso state, Brazil",2010,10.1590/s1415-47572010000300020,Oxytrigona,1,Neotropical,1,,Neotropical,Neotropical
242,The virome of an endangered stingless bee suffering from annual mortality in Southern Brazil,2019,10.1099/jgv.0.001273,Melipona,1,Neotropical,1,,Neotropical,Neotropical
243,Further evidences of an emerging stingless bee-yeast symbiosis,2023,10.3389/fmicb.2023.1221724,Melipona; Partamona; Scaptotrigona; Tetragona,4,Neotropical,1,,Neotropical,Neotropical
244,"Prediction of social structure and genetic relatedness in colonies of the facultative polygynous stingless bee Melipona bicolor (Hymenoptera, Apidae)",2011,10.1590/s1415-47572011005000008,Melipona,1,Neotropical,1,,Neotropical,Neotropical
245,Bacterial Community in Apis cerana and Heterotrigona itama Honey Using a Metabarcoding Approach,2026,10.4308/hjb.33.2.310-320,Heterotrigona,1,Indo-Australasian,1,,Indo-Australasian,Indo-Australasian
246,"Rapid evolution, rearrangements and whole mitogenome duplication in the Australian stingless bees Tetragonula (Hymenoptera: Apidae): A steppingstone towards understanding mitochondrial function and evolution",2023,10.1016/j.ijbiomac.2023.124568,Tetragonula,1,Indo-Australasian,1,,Indo-Australasian,Indo-Australasian
247,Genetic structure of nest aggregations and drone congregations of the southeast Asian stingless bee Trigona collina,2004,10.1111/j.1365-294x.2004.02194.x,Trigona,1,Neotropical,1,,Neotropical,Neotropical
248,"Differentially displayed expressed sequence tags in Melipona scutellaris (Hymenoptera, Apidae, Meliponini) development",2006,10.1590/s0001-37652006000100008,Melipona,1,Neotropical,1,,Neotropical,Neotropical
249,"Isolation and characterization of microsatellites from Scaptotrigona xanthotricha (Apidae, Meliponini): A stingless bee in the Brazilian Atlantic rainforest",2012,10.1007/s13592-011-0109-6,Scaptotrigona,1,Neotropical,1,,Neotropical,Neotropical
250,Metabarcoding in diet assessment of heterotrigona itama based on trnl marker towards domestication program,2021,10.3390/insects12030205,Heterotrigona,1,Indo-Australasian,1,,Indo-Australasian,Indo-Australasian
251,"Starmerella meliponinorum sp. nov., a novel ascomycetous yeast species associated with stingless bees",2003,10.1099/ijs.0.02262-0,Melipona; Scaptotrigona; Tetragonisca; Trigona,4,Neotropical,1,,Neotropical,Neotropical
252,Biomonitoring via DNA metabarcoding and light microscopy of bee pollen in rainforest transformation landscapes of Sumatra,2022,10.1186/s12862-022-02004-x,Tetragonula,1,Indo-Australasian,1,,Indo-Australasian,Indo-Australasian
253,DNA Barcoding of Stingless Bees (Hymenoptera: Meliponini) in Northern Peruvian Forests: A Plea for Integrative Taxonomy,2022,10.3390/d14080632,Geotrigona; Melipona; Nannotrigona; Partamona; Plebeia; Ptilotrigona; Scaptotrigona; Scaura; Tetragona; Tetragonisca; Trigona; Trigonisca,12,Neotropical,1,,Neotropical,Neotropical
254,"Characterization and distribution of supernumerary chromosomes in 23 colonies of Partamona helleri (Hymenoptera, Apidae, Meliponinae)",1997,,Partamona,1,Neotropical,1,,Neotropical,Neotropical
255,"Differentiation of Melipona quadrifasciata L. (Hymenoptera, Apidae, Meliponini) subspecies using cytochrome b PCR-RFLP patterns",2008,10.1590/s1415-47572008000300009,Melipona,1,Neotropical,1,,Neotropical,Neotropical
256,"Genetic divergence in Tetragonisca angustula Latreille, 1811 (Hymenoptera, Meliponinae,Trigonini) based on rapd markers",2004,10.1590/s1415-47572004000200009,Tetragonisca,1,Neotropical,1,,Neotropical,Neotropical
257,"Genome-wide discovery and characterization of microsatellite markers from Melipona fasciculata (Hymenoptera: Apidae), cross-amplification and a snapshot assessment of the genetic diversity in two stingless bee populations",2018,10.14411/eje.2018.058,Melipona,1,Neotropical,1,,Neotropical,Neotropical
258,Yeasts from the nests of two Amazonian stingless bees: screening and PCR-RFLP molecular analysis,2022,10.1007/s13199-022-00865-w,Cephalotrigona; Melipona,2,Neotropical,1,,Neotropical,Neotropical
259,Expression of methyl farnesoate epoxidase (Mfe) and juvenile hormone esterase (jhe) genes and their relation to social organization in the stingless bee melipona interrupta (hymenoptera: Apidae),2021,10.1590/1678-4685-gmb-2020-0367,Melipona,1,Neotropical,1,,Neotropical,Neotropical
260,Phylogenetic analysis of tetragonula minangkabau and other species using cytochrome b gene,2019,10.2478/jas-2019-0008,Tetragonula,1,Indo-Australasian,1,,Indo-Australasian,Indo-Australasian
261,Hybridization and asymmetric introgression between Tetragonisca angustula and Tetragonisca fiebrigi,2014,10.1007/s13592-013-0224-7,Tetragonisca,1,Neotropical,1,,Neotropical,Neotropical
262,Exploring the genome of Lactobacillaceae spp. Sy-1 isolated from Heterotrigona itama honey,2022,10.7717/peerj.13053,,0,,0,,NA,No region assigned
263,"Karyotype diversity of stingless bees of the genus frieseomelitta (Hymenoptera, apidae, meliponini)",2020,10.13128/caryologia-610,Frieseomelitta,1,Neotropical,1,,Neotropical,Neotropical
264,"Bacterial diversity of stingless bee honey in Yunnan, China: isolation and genome sequencing of a novel acid-resistant Lactobacillus pentosus (SYBC-MI) with probiotic and L. tryptophan producing potential via millet fermentation",2023,10.3389/fbioe.2023.1272308,,0,,0,,NA,No region assigned
265,"Isoenzymatic characterization of the hexokinase in the development of Plebeia droryana (Hymenoptera, Apidae) and its relation with flight activity; [Caracterização isoenzimática da hexoquinase no desenvolvimento de Plebeia droryana (Hymenoptera, Apidae) e sua relação com a atividade de vôo.]",1995,,Plebeia,1,Neotropical,1,,Neotropical,Neotropical
266,Trouble in the tropics: Pathogen spillover is a threat for native stingless bees,2023,10.1016/j.biocon.2023.110150,Melipona,1,Neotropical,1,,Neotropical,Neotropical
267,Supplementary Diets Impact the Abundance of Core Bacteria in the Gut of a Managed Stingless Bee but Not Its Fat Body Size,2025,10.1111/jen.13422,Melipona,1,Neotropical,1,,Neotropical,Neotropical
268,"Inheritance pattern of RAPD markers in Melipona quadrifasciata (Hymenoptera: Apidae, Meliponinae)",2001,10.1093/jhered/92.3.279,Melipona,1,Neotropical,1,,Neotropical,Neotropical
269,"Comprehensive Insights into Malaysian Stingless Bee Honey: Biodiversity, Therapeutic Benefits, and Analytical Approaches",2025,10.55373/mjchem.v27i1.61,,0,,0,,NA,No region assigned
270,Cytogenetic characterization of Austroplebeia australis: evolutionary hints from a stingless bee outside the Neotropical region,2022,10.1007/s13592-022-00969-8,Austroplebeia,1,Indo-Australasian,1,,Indo-Australasian,Indo-Australasian
271,Home Sweet Home: Yeasts Living in Substrates Associated with Melipona scutellaris in the Brazilian Atlantic Forest,2024,10.13102/sociobiology.v71i2.10359,Melipona,1,Neotropical,1,,Neotropical,Neotropical
272,Gene Flow from Wild to Managed Colonies in the Stingless Bee Scaptotrigona Mexicana and an Update on its Mating Frequency,2021,10.2478/jas-2021-0020,Scaptotrigona,1,Neotropical,1,,Neotropical,Neotropical
273,A molecular phylogeny of the stingless bee genus Melipona (Hymenoptera: Apidae),2010,10.1016/j.ympev.2010.04.026,Melipona,1,Neotropical,1,,Neotropical,Neotropical
274,Conserved numts mask a highly divergent mitochondrial-COI gene in a species complex of Australian stingless bees Tetragonula (Hymenoptera: Apidae),2019,10.1080/24701394.2019.1665036,Tetragonula,1,Indo-Australasian,1,,Indo-Australasian,Indo-Australasian
275,Genome size variation in Melipona species (Hymenoptera: Apidae) and sub-grouping by their DNA content,2010,10.1051/apido/20010023,Melipona,1,Neotropical,1,,Neotropical,Neotropical
276,"Comparative cytogenetic analysis of three species of the genus Partamona (Apidae, Meliponini)",2021,10.1007/s13592-020-00798-7,Partamona,1,Neotropical,1,,Neotropical,Neotropical
277,Integrative approach untangles the misconceptions about the range and identity of two stingless bees from the Brazilian semiarid region,2020,10.1080/00218839.2019.1673594,Melipona,1,Neotropical,1,,Neotropical,Neotropical
278,Sugar response and gustatory gene expression in the stingless bee Tetragonisca fiebrigi,2025,10.1016/j.jinsphys.2025.104818,Tetragonisca,1,Neotropical,1,,Neotropical,Neotropical
279,"Characterization of antennal sensilla, larvae morphology and olfactory genes of Melipona scutellaris stingless bee",2017,10.1371/journal.pone.0174857,Melipona,1,Neotropical,1,,Neotropical,Neotropical
280,Detection of mitochondrial DNA restriction site differences between the subspecies of Melipona quadrifasciata Lepeletier (Hymenoptera: Apidae: Meliponini); [Detecção de diferenças no padrão de restrição do DNA mitocondrial entre duas subespécies de Melipona quadrifasciata Lepeletier (Hymenoptera: Apidae: Meliponini)],2005,10.1590/s1519-566x2005000300004,Melipona,1,Neotropical,1,,Neotropical,Neotropical
281,"Gene copy number and differential gene expression in haploid and diploid males of the stingless bee, Melipona quadrifasciata",2012,10.1007/s00040-012-0259-1,Melipona,1,Neotropical,1,,Neotropical,Neotropical
282,Microsatellite loci for stingless bees,1998,,Melipona,1,Neotropical,1,,Neotropical,Neotropical
283,Genetic diversity in nannotrigona testaceicornis (Hymenoptera: Apidae) aggregations in southeastern Brazil,2017,10.1093/jisesa/iew101,Nannotrigona,1,Neotropical,1,,Neotropical,Neotropical
284,"DNA characterization and karyotypic evolution in the bee genus Melipona (Hymenoptera, Meliponini)",2002,10.1034/j.1601-5223.2002.1360104.x,Melipona; Scaptotrigona,2,Neotropical,1,,Neotropical,Neotropical
285,Recombination mapping of the Brazilian stingless bee Frieseomelitta varia confirms high recombination rates in social hymenoptera,2021,10.1186/s12864-021-07987-3,Frieseomelitta,1,Neotropical,1,,Neotropical,Neotropical
286,Diagnostics of wild stingless bees from northeast india,2020,10.5958/0974-8172.2020.00076.0,Lepidotrigona; Tetragonula,2,Indo-Australasian,1,,Indo-Australasian,Indo-Australasian
287,Preliminary molecular characterization of Angelita Bees (Tetragonisca Angustula) from Guarico state through RAPD markers; [Caracterización molecular preliminar de abejas Angelita (Tetragonisca Angustula) del estado Guárico mediante marcadores moleculares RAPD],2014,,Tetragonisca,1,Neotropical,1,,Neotropical,Neotropical
288,Molecular identification of Amazonian stingless bees using polymerase chain reaction single-strand conformation polymorphism,2014,10.4238/2014.july.25.4,Melipona; Scaptotrigona; Trigona,3,Neotropical,1,,Neotropical,Neotropical
289,The first ITS2 sequence data set of eDNA from honey of Malaysian giant honeybees (Apis dorsata) and stingless bees (Heterotrigona itama) reveals plant species diversity,2023,10.1186/s13104-023-06495-9,Heterotrigona,1,Indo-Australasian,1,,Indo-Australasian,Indo-Australasian
290,"Morphological, chemical, and molecular analyses differentiate populations of the subterranean nesting stingless bee Mourella caerulea (Apidae: Meliponini)",2018,10.1007/s13592-018-0563-5,Mourella,1,Neotropical,1,,Neotropical,Neotropical
291,Pot-pollen DNA barcoding as a tool to determine the diversity of plant species visited by Ecuadorian stingless bees,2025,10.1371/journal.pone.0323306,Melipona; Scaptotrigona; Tetragonisca,3,Neotropical,1,,Neotropical,Neotropical
292,Phylogenetic relationships of heterotrigona itama in Malaysia based on COI DNA sequences,2018,,Heterotrigona,1,Indo-Australasian,1,,Indo-Australasian,Indo-Australasian
