doc_id,article_id,title,year,doi,source_database,genus_raw,genus_for_stm,n_genera_mentioned,mentioned_genera
55,55,"Genetic structure of Partamona helleri (Apidae, Meliponini) from Neotropical Atlantic rainforest",2010,10.1007/s00040-010-0098-x,Scopus,Partamona,Partamona,1,Partamona
56,56,"Farnesoic Acid O-Methyl Transferase (FAMeT) isoforms: Conserved traits and gene expression patterns related to caste differentiation in the stingless bee, Melipona scutellaris",2008,10.1002/arch.20224,Scopus,Melipona,Melipona,1,Melipona
57,57,"A scientific note on the isolation and characterization of microsatellite loci of Frieseomelitta varia (Hymenoptera, apidae, Meliponini)",2011,10.1007/s13592-011-0008-x,Scopus,Frieseomelitta,Frieseomelitta,1,Frieseomelitta
58,58,Mitochondria tRNA gene translocations in highly eusocial bees,2006,10.1590/s1415-47572006000300030,Scopus,Melipona,Melipona,1,Melipona
59,59,"Phylogeography of Partamona rustica (Hymenoptera, Apidae), an endemic stingless bee from the neotropical dry forest diagonal",2016,10.1371/journal.pone.0164441,Scopus,Partamona,Partamona,1,Partamona
60,60,"Molecular phylogeny of the stingless bees (Apidae, Apinae, Meliponini) inferred from mitochondrial 16S rDNA sequences",2003,10.1051/apido:2002051,Scopus,Multiple,Multiple,9,Austroplebeia; Axestotrigona; Heterotrigona; Hypotrigona; Lepidotrigona; Meliplebeia; Plebeia; Plebeina; Trigona
61,61,"Is the São Francisco River a historical barrier to gene flow for populations of Melipona mandacaia Smith, 1863 (Hymenoptera: Apidae)?",2023,10.1007/s10841-023-00466-y,Scopus,Melipona,Melipona,1,Melipona
62,62,"Complete mitochondrial genome sequence of Melipona scutellaris, a Brazilian stingless bee",2016,10.3109/19401736.2015.1018233,Scopus,Melipona,Melipona,1,Melipona
63,63,"A RAPD marker associated with B chromosomes in Partamona helleri (Hymenoptera, Apidae)",2004,10.1159/000079299,Scopus,Partamona,Partamona,1,Partamona
64,64,The mitochondrial genome of Melipona fasciculata and Melipona quadrifasciata: molecular evolution dynamics in stingless bees (Hymenoptera: Meliponini) mitogenomes,2025,10.1080/00218839.2025.2477412,Scopus,Multiple,Multiple,3,Lepidotrigona; Melipona; Tetragonula
65,65,"Unveiling the Cultivation-Dependent Gut Bacterial Microbiota in the Feral Stingless Bee, Tetragonula iridipennis Smith (Hymenoptera: Apidae)",2025,10.13102/sociobiology.v72i3.11205,Scopus,Tetragonula,Tetragonula,1,Tetragonula
66,66,Evidence for morphological and genetic structuring of Plebeia flavocincta (Apidae: Meliponini) populations in Northeast Brazil,2022,10.3389/fevo.2022.1057624,Scopus,Plebeia,Plebeia,1,Plebeia
67,67,Mitochondrial genome characterization of Melipona bicolor: Insights from the control region and gene expression data,2019,10.1016/j.gene.2019.04.042,Scopus,Melipona,Melipona,1,Melipona
68,68,Study of microsatellite markers in stingless bees Melipona colimana and M. beecheii from mesoamerica; [Estudio de microsatélites en las abejas sin aguijón Melipona colimana y M. beecheii de mesoamérica],2014,10.4321/s0004-05922014000100014,Scopus,Melipona,Melipona,1,Melipona
69,69,Cytogenomics of Frieseomelitta varia (Hymenoptera: Apidae) and the Sharing of a Satellite DNA Family in Several Neotropical Meliponini Genera,2025,10.3390/genes16010086,Scopus,Frieseomelitta,Frieseomelitta,1,Frieseomelitta
70,70,Similarity of heterochromatic regions in the stingless bees (Hymenoptera: Meliponini) revealed by chromosome painting,2014,10.1080/0144235x.2014.974349,Scopus,Multiple,Multiple,2,Melipona; Tetragonisca
71,71,"Extraction of genomic DNA from Melipona quadrifasciata (Hymenoptera: Apidae, Meliponinae)",1997,10.1590/s0100-84551997000300011,Scopus,Multiple,Multiple,2,Melipona; Scaptotrigona
72,72,Molecular Characterization of the Indigenous Stingless Bees (Tetragonula spp. Complex) Using ISSR Marker from Southern Peninsular India,2018,10.1007/s13744-017-0538-7,Scopus,Tetragonula,Tetragonula,1,Tetragonula
73,73,"Phylogenomic insights into the worldwide evolutionary relationships of the stingless bees (Apidae, Meliponini)",2024,10.1016/j.ympev.2024.108219,Scopus,Multiple,Multiple,9,Cephalotrigona; Ebaiotrigona; Frieseomelitta; Lepidotrigona; Oxytrigona; Papuatrigona; Paratrigonoides; Pariotrigona; Trichotrigona
74,74,"Diploid males of Scaptotrigona depilis are able to join reproductive aggregations (Apidae, Meliponini)",2015,10.3897/jhr.42.4769,Scopus,Scaptotrigona,Scaptotrigona,1,Scaptotrigona
75,75,A protocol for isolating insect mitochondrial genomes: A case study of NUMT in Melipona flavolineata (Hymenoptera: Apidae),2016,10.3109/19401736.2015.1028049,Scopus,Melipona,Melipona,1,Melipona
76,76,"Alelle number and heterozigosity for microsatellite loci in different stingless bee species (Hymenoptera: Apidae, Meliponini)",2006,10.1590/s1519-566x2006000500011,Scopus,Multiple,Multiple,4,Melipona; Partamona; Plebeia; Scaptotrigona
77,77,The extensive amplification of heterochromatin in Melipona bees revealed by high throughput genomic and chromosomal analysis,2021,10.1007/s00412-021-00764-x,Scopus,Melipona,Melipona,1,Melipona
78,78,"A Study on Intraspecific Resource Partitioning in the Stingless bee Scaptotrigona mexicana Guérin (Apidae, Meliponini) Using Behavioral and Molecular Techniques",2016,10.1007/s13744-016-0404-z,Scopus,Scaptotrigona,Scaptotrigona,1,Scaptotrigona
79,79,Unraveling genetic parameters for the corbicular area of Tetragonisca angustula (Hymenoptera: Apidae),2024,10.1080/00218839.2022.2077545,Scopus,Tetragonisca,Tetragonisca,1,Tetragonisca
80,80,"Glucose phosphate isomerase, malate dehydrogenase and isocitrate dehydrogenase allozyme variation in the stingless bee, trigona (tetragonula) fuscobalteata (insecta: hymenoptera: apidae), from peninsular malaysia",1987,10.1016/0305-0491(87)90037-x,Scopus,Multiple,Multiple,2,Tetragonula; Trigona
81,81,Isolation and characterization of ten microsatellite loci in stingless bee Trigona spinipes (Apidae: Meliponini),2015,10.1111/ens.12095,Scopus,Multiple,Multiple,4,Frieseomelitta; Partamona; Tetragonisca; Trigona
82,82,Molecular genetic diversity in populations of the stingless bee Plebeia remota: A case study,2013,10.1590/s1415-47572013000100017,Scopus,Plebeia,Plebeia,1,Plebeia
83,83,"Karyotypes and heterochromatin variation (C-bands) in Melipona species (Hymenoptera, Apidae, Meliponinae)",1998,10.1590/s1415-47571998000100008,Scopus,Melipona,Melipona,1,Melipona
84,84,Temporal changes in the microbiome of stingless bee foragers following colony relocation,2021,10.1093/femsec/fiaa236,Scopus,Tetragonula,Tetragonula,1,Tetragonula
85,85,Outbreeding and lack of temporal genetic structure in a drone congregation of the neotropical stingless bee Scaptotrigona mexicana,2012,10.1002/ece3.203,Scopus,Scaptotrigona,Scaptotrigona,1,Scaptotrigona
86,86,"Proportion of males sons-of-the-queen and sons-of-workers in Plebeia droryana (Hymenoptera, Apidae) estimated from data of an MDH isozymic polymorphic system",1984,10.1007/bf00122905,Scopus,Plebeia,Plebeia,1,Plebeia
87,87,"Development of a SCAR marker for the analysis of B chromosome presence in Partamona helleri (Hymenoptera, Apidae)",2007,10.1159/000097430,Scopus,Partamona,Partamona,1,Partamona
88,88,Viruses in Brazilian stingless bees,2024,10.1080/00218839.2024.2317066,Scopus,Multiple,Multiple,6,Melipona; Nannotrigona; Partamona; Scaptotrigona; Tetragonisca; Trigona
89,89,"Gene variation, population differentiation, and sociogenetic structure of nests of partamona seridoensis (Hymenoptera: Apidae, Meliponini)",2012,10.1007/s10528-011-9465-1,Scopus,Partamona,Partamona,1,Partamona
90,90,The Insecticide Imidacloprid Decreases Nannotrigona Stingless Bee Survival and Food Consumption and Modulates the Expression of Detoxification and Immune-Related Genes,2022,10.3390/insects13110972,Scopus,Nannotrigona,Other_rare_genera,1,Nannotrigona
91,91,"Molecular species delimitation and historical biogeography among species of the genus Partamona (Hymenoptera: Apidae: Meliponini), with emphasis on the Eastern group from South America",2025,10.1093/zoolinnean/zlaf006,Scopus,Partamona,Partamona,1,Partamona
92,92,"Genetic variability in five populations of Partamona helleri (Hymenoptera, Apidae) from Minas Gerais state, Brazil",2010,10.1590/s1415-47572010005000087,Scopus,Partamona,Partamona,1,Partamona
93,93,Morphometric and genetic analyses differentiate Mesoamerican populations of the endangered stingless bee Melipona beecheii (Hymenoptera: Meliponidae) and support their conservation as two separate units,2012,10.1007/s10841-012-9457-4,Scopus,Melipona,Melipona,1,Melipona
94,94,"DNA Barcoding applied to the identification of Meliponini in the Lençóis Maranhenses microregion, Brazil; [DNA Barcoding aplicado à identificação de meliponíneos na microrregião Lençóis Maranhenses, Brasil]",2025,10.1590/1519-6984.295935,Scopus,Melipona,Melipona,1,Melipona
95,95,Robertsonian rearrangements in Neotropical Meliponini karyotype evolution (Hymenoptera: Apidae: Meliponini),2021,10.1111/imb.12702,Scopus,Melipona,Melipona,1,Melipona
96,96,"Microsatellite loci for an endemic stingless bee Melipona seminigra merrillae (Apidae, meliponini) from Amazon",2009,10.1007/s12686-009-9113-9,Scopus,Melipona,Melipona,1,Melipona
97,97,Mitochondrial DNA characterization of five species of Plebeia (Apidae: Meliponini): RFLP and restriction maps,2001,10.1051/apido:2001132,Scopus,Multiple,Multiple,2,Plebeia; Scaptotrigona
98,98,Shifting range in a stingless bee leads to pre-mating reproductive interference between species,2023,10.1007/s10592-023-01512-7,Scopus,Tetragonula,Tetragonula,1,Tetragonula
99,99,"Karyotypic description of the stingless bee Melipona quinquefasciata Lepeletier, 1836 (Hymenoptera, Meliponini) with emphasis on the presence of B chromosomes",2018,10.3897/compcytogen.v12i4.29165,Scopus,Melipona,Melipona,1,Melipona
100,100,"Genetic variability and population structure in Melipona scutellaris (Hymenoptera: Apidae) from Bahia, Brazil, based on molecular markers",2013,10.1007/s13592-013-0220-y,Scopus,Melipona,Melipona,1,Melipona
101,101,Males Are Capable of Long-Distance Dispersal in a Social Bee,2022,10.3389/fevo.2022.843156,Scopus,Tetragonula,Tetragonula,1,Tetragonula
102,102,Possible introgression of B chromosomes between bee species (genus partamona),2014,10.1159/000370171,Scopus,Partamona,Partamona,1,Partamona
103,103,"Karyological Analysis of a Stingless Bee, Melipona favosa (Apidae, Hymenoptera)",1988,10.1508/cytologia.53.153,Scopus,Melipona,Melipona,1,Melipona
104,104,Effect of symbiotic bee fungus on survival of stingless bee Heterotrigona itama larvae,2022,10.21161/mjm.211205,Scopus,Heterotrigona,Heterotrigona,1,Heterotrigona
105,105,An absence of enzyme variability within two species of Trigona (Hymenoptera),1983,10.1038/hdy.1983.12,Scopus,Trigona,Trigona,1,Trigona
106,106,"Distinct fungal microbiomes of two Thai commercial stingless bee species, Lepidotrigona terminata and Tetragonula pagdeni suggest a possible niche separation in a shared habitat",2024,10.3389/fcimb.2024.1367010,Scopus,Multiple,Multiple,2,Lepidotrigona; Tetragonula
107,107,Genetic structure of drone congregations of the stingless bee Scaptotrigona mexicana,2008,10.1007/s00040-007-0966-1,Scopus,Scaptotrigona,Scaptotrigona,1,Scaptotrigona
108,108,"Genetic and morphometric variation in populations of Partamona cupira and Partamona mulata, stingless bees endemic to the Cerrado biome in Brazil",2025,10.1093/biolinnean/blae072,Scopus,Partamona,Partamona,1,Partamona
109,109,"ENHANCED DNA EXTRACTION FROM TRIGONA HONEY: A LOW-VOLUME OF SAMPLE, HIGH-PURITY APPROACH FOR MOLECULAR RESEARCH",2025,10.31648/pjns.11421,Scopus,Trigona,Trigona,1,Trigona
110,110,"Complete Mitochondrial Genome Characterization and Phylogenomics of the Stingless Bee, Heterotrigona itama (Apidae: Meliponini)",2025,10.3390/insects16050535,Scopus,Multiple,Multiple,2,Heterotrigona; Tetragonula
111,111,"Morphometrical, biochemical and molecular tools for assessing biodiversity. An example in Plebeia remota (Holmberg, 1903) (Apidae, Meliponini)",2008,10.1007/s00040-008-0992-7,Scopus,Plebeia,Plebeia,1,Plebeia
112,112,Development of a species-diagnostic marker for identification of the stingless bee Trigona pagdeni in Thailand,2010,10.1007/s10528-009-9300-0,Scopus,Trigona,Trigona,1,Trigona
113,113,"Quantitative genetics of multivariate morphometric variation in the neotropical stingless bee, Scaptotrigona postica (Hymenoptera: Meliponinae)",1994,,Scopus,Scaptotrigona,Scaptotrigona,1,Scaptotrigona
114,114,Geographic distribution and spatial differentiation in the color pattern of abdominal stripes of the neotropical stingless bee Melipona quadrifasciata (Hymenoptera:Apidae),2009,10.1590/s1984-46702009000200003,Scopus,Melipona,Melipona,1,Melipona
115,115,"Stingless Bee, Tetragonula iridipennis Smith, 1854 (Hymenoptera: Apidae: Meliponini): Molecular and Morphological Characterization",2018,10.1007/s40011-016-0757-4,Scopus,Tetragonula,Tetragonula,1,Tetragonula
116,116,"Heteroplasmy, inverted repeats, and genetic differentiation of the stingless bee Heterotrigona itama (Hymenoptera, Apidae, Meliponini) mitochondrial genome",2025,10.1007/s13592-025-01230-8,Scopus,Heterotrigona,Heterotrigona,1,Heterotrigona
117,117,Reassessing Hybridisation in Australian Tetragonula Stingless Bees Using Multiple Genetic Markers,2025,10.1002/ece3.70912,Scopus,Tetragonula,Tetragonula,1,Tetragonula
118,118,"Scaptona ramosa gen. nov., sp. nov., isolated from nest of the stingless bee",2024,10.1099/ijsem.0.006227,Scopus,Scaptotrigona,Scaptotrigona,1,Scaptotrigona
119,119,"Mitochondrial DNA: a promising tool for characterising the population of the Tiúba stingless bee, Melipona fasciculata (Apidae, Meliponini); [DNA mitocondrial: uma ferramenta promissora para caracterizar a população da abelha-sem-ferrão Tiúba, Melipona fasciculata (Apidae, Meliponini)]",2024,10.1590/1519-6984.288003,Scopus,Melipona,Melipona,1,Melipona
120,120,"Characterization of microsatellite loci of tetragonisca angustula (Hymenoptera, Apidae, Meliponini)",2009,10.1007/s12686-009-9045-4,Scopus,Multiple,Multiple,3,Lestrimelitta; Schwarziana; Tetragonisca
121,121,Stingless Bee Larvae Require Fungal Steroid to Pupate,2018,10.1038/s41598-018-19583-9,Scopus,Scaptotrigona,Scaptotrigona,1,Scaptotrigona
122,122,Black queen cell virus detected in endemic African stingless bees (Apidae: Meliponinae),2024,10.1007/s42690-024-01303-8,Scopus,Multiple,Multiple,2,Hypotrigona; Meliponula
123,123,"Species description, morphometric measurement and molecular identification of stingless bees (Hymenoptera: Apidae: Meliponini) in meliponiculture industry in West Java Province, Indonesia",2021,,Scopus,Multiple,Multiple,3,Heterotrigona; Lepidotrigona; Tetragonula
124,124,"Karyotypic description and repetitive DNA chromosome mapping of melipona interrupta latreille, 1811 (Hymenoptera: Meliponini)",2019,10.13128/cayologia-239,Scopus,Melipona,Melipona,1,Melipona
125,125,"A molecular marker distinguishes the subspecies Melipona quadrifasciata quadrifasciata and Melipona quadrifasciata anthidioides (Hymenoptera: Apidae, Meliponinae)",2000,10.1590/s1415-47572000000300019,Scopus,Melipona,Melipona,1,Melipona
126,126,Very low mitochondrial variability in a stingless bee endemic to cerrado,2013,10.1590/s1415-47572013000100018,Scopus,Partamona,Partamona,1,Partamona
127,127,"Genetic diversity and population structure of an endemic bee Wallacetrigona incisa in South Sulawesi, Indonesia",2025,10.13057/biodiv/d260235,Scopus,Wallacetrigona,Other_rare_genera,1,Wallacetrigona
128,128,Fungal diversity in larval diets of Melipona interrupta: Impacts on queen development and survival,2025,10.1590/1678-4685-gmb-2025-0021,Scopus,Melipona,Melipona,1,Melipona
129,129,"Intraspecific variation in the first internal transcribed spacer (ITS1) of the nuclear ribosomal DNA in Melipona subnitida (Hymenoptera, Apidae), an endemic stingless bee from northeastern Brazil",2006,10.1051/apido:2006003,Scopus,Multiple,Multiple,2,Melipona; Scaptotrigona
130,130,Insights into the heterochromatin evolution in the genus Melipona (Apidae: Meliponini),2020,10.1007/s00040-020-00773-6,Scopus,Melipona,Melipona,1,Melipona
131,131,Probiotic properties of bacteria isolated from bee bread of stingless bee Heterotrigona itama,2020,10.1080/00218839.2020.1801152,Scopus,Heterotrigona,Heterotrigona,1,Heterotrigona
132,132,"Detection of diploid males in a natural colony of the cleptobiotic bee Lestrimelitta sp (Hymenoptera, apidae)",2010,10.1590/s1415-47572010000300019,Scopus,Lestrimelitta,Other_rare_genera,1,Lestrimelitta
133,133,"Gene expression profiles underlying alternative caste phenotypes in a highly eusocial bee, Melipona quadrifasciata",2006,10.1111/j.1365-2583.2005.00605.x,Scopus,Multiple,Multiple,2,Melipona; Scaptotrigona
134,134,DNA methylation in stingless bees with low and high heterochromatin contents as assessed by restriction enzyme digestion and image analysis,2006,10.1002/cyto.a.20312,Scopus,Melipona,Melipona,1,Melipona
135,135,"Cytogenetic characterization of Partamona cupira (Hymenoptera, Apidae) by fluorochromes",2010,10.1590/s1415-47572010005000029,Scopus,Partamona,Partamona,1,Partamona
136,136,Matrilineage differentiation of the genus Tetragonisca using mitochondrial DNA markers and the polymerase chain reaction-restriction fragment length polymorphism technique,2015,10.4238/2015.october.21.2,Scopus,Tetragonisca,Tetragonisca,1,Tetragonisca
137,137,Anthropogenic hive movements are changing the genetic structure of a stingless bee (Tetragonula carbonaria) population along the east coast of Australia,2018,10.1007/s10592-017-1040-9,Scopus,Tetragonula,Tetragonula,1,Tetragonula
138,138,Stingless bee honey: Evaluating its antibacterial activity and bacterial diversity,2020,10.3390/insects11080500,Scopus,Multiple,Multiple,2,Heterotrigona; Homotrigona
139,139,The Satellite DNAs Populating the Genome of Trigona hyalinata and the Sharing of a Highly Abundant satDNA in Trigona Genus,2023,10.3390/genes14020418,Scopus,Trigona,Trigona,1,Trigona
140,140,Morphometric and genetic differentiation in isolated populations of the endangered Mesoamerican stingless bee Melipona yucatanica (Hymenoptera: Apoidea) suggest the existence of a two species complex,2010,10.1007/s10592-010-0087-7,Scopus,Melipona,Melipona,1,Melipona
141,141,"Starmerella neotropicalis f. a., sp. nov., a yeast species found in bees and pollen",2013,10.1099/ijs.0.055897-0,Scopus,Melipona,Melipona,1,Melipona
142,142,Genetic diversity and population structure of Trigona pagdeni Schwarz in Thailand,2008,10.1051/apido:2008026,Scopus,Trigona,Trigona,1,Trigona
143,143,"Morphological and molecular characters reveal differentiation in a Neotropical social bee, Melipona beecheii (Apidae: Meliponini)",2007,10.1051/apido:2007006,Scopus,Melipona,Melipona,1,Melipona
144,144,"Complete Genome Sequence of Bacillus velezensis GMEKP1, Isolated from a Natural Bamboo Hive of Stingless Bees",2021,10.1128/mra.00659-21,Scopus,Trigona,Trigona,1,Trigona
145,145,"The screening of probiotic lactic acid bacteria from honey of stingless bee from West Sumatra, Indonesia and using as starter culture",2022,10.13057/biodiv/d231235,Scopus,Multiple,Multiple,3,Geniotrigona; Heterotrigona; Tetragonula
146,146,Characterization of dinucleotide microsatellite loci for stingless bees,1999,10.1046/j.1365-294x.1999.00874.x,Scopus,Scaptotrigona,Scaptotrigona,1,Scaptotrigona
147,147,Functional orthologs of honeybee CYP6AQ1 in stingless bees degrade the butenolide insecticide flupyradifurone,2023,10.1016/j.ecoenv.2023.115719,Scopus,Multiple,Multiple,4,Frieseomelitta; Heterotrigona; Melipona; Tetragonula
148,148,A Genetically Modified Anti-Plasmodium Bacterium Is Harmless to the Foragers of the Stingless Bee Partamona helleri,2022,10.1007/s00248-021-01805-9,Scopus,Partamona,Partamona,1,Partamona
149,149,"The impact of early-life exposure to three agrochemicals on survival, behavior, and gut microbiota of stingless bees (Partamona helleri)",2023,10.1007/s11356-023-27385-4,Scopus,Partamona,Partamona,1,Partamona
150,150,Gene expression and epigenetics reveal species-specific mechanisms acting upon common molecular pathways in the evolution of task division in bees,2021,10.1038/s41598-020-75432-8,Scopus,Tetragonisca,Tetragonisca,1,Tetragonisca
151,151,"Comparative study on the use of specific and heterologous microsatellite primers in the stingless bees Melipona rufiventris and M. mondury (Hymenoptera, Apidae)",2010,10.1590/s1415-47572010005000017,Scopus,Melipona,Melipona,1,Melipona
152,152,Presence of nuclear copies of mitochondrial origin (NUMTs) in two related species of stingless bee genus Melipona (Hymenoptera: Meliponini),2013,10.1111/jzs.12011,Scopus,Melipona,Melipona,1,Melipona
153,153,"Occurrence of b chromosomes in tetragonisca latreille, 1811 (hymenoptera, apidae, meliponini): A new contribution to the cytotaxonomy of the genus",2011,10.1590/s1415-47572010005000100,Scopus,Tetragonisca,Tetragonisca,1,Tetragonisca
154,154,Sympatric cleptobiotic stingless bees have species-specific cuticular profiles that resemble their hosts,2022,10.1038/s41598-022-06683-w,Scopus,Multiple,Multiple,2,Lestrimelitta; Scaptotrigona
155,155,"The complete mitochondrial genome of the Indian dammer bee, Tetragonula iridipennis, and the phylogenomics of Meliponini",2023,10.3389/fevo.2023.1171242,Scopus,Multiple,Multiple,2,Lepidotrigona; Tetragonula
156,156,"Complete mitochondrial genome of the stingless bee Geniotrigona thoracica (Hymenoptera, Apidae, Meliponini): presence of genome duplication, heteroplasmy and inverted repeats",2026,10.1007/s11033-026-11603-6,Scopus,Multiple,Multiple,7,Ebaiotrigona; Geniotrigona; Heterotrigona; Lepidotrigona; Melipona; Plebeina; Tetragonula
157,157,"New highly discordant chromosome number and cytogenetic characterization in Trigona (Apidae, Meliponini)",2025,10.1007/s13592-025-01189-6,Scopus,Trigona,Trigona,1,Trigona
158,158,Antimicrobial activity and antibiotic resistance of lactic acid bacteria isolated from Malaysian stingless bee's gut,2019,10.21161/mjm.1915410,Scopus,Multiple,Multiple,3,Geniotrigona; Heterotrigona; Tetragonula
159,159,Human-mediated dispersal of Geniotrigona thoracica (Apidae: Meliponini) colonies promotes high genetic diversity and reduces population structuring in managed populations,2025,10.7717/peerj.20460,Scopus,Geniotrigona,Other_rare_genera,1,Geniotrigona
160,160,"Phylogenetic and Morphological Characteristics Reveal Cryptic Speciation in Stingless Bee, Tetragonula laeviceps s.l. Smith 1857 (Hymenoptera; Meliponinae)",2023,10.3390/insects14050438,Scopus,Tetragonula,Tetragonula,1,Tetragonula
161,161,"The partial mitochondrial sequence of the Old World stingless bee, Tetragonula pagdeni",2013,10.1007/s12041-013-0243-1,Scopus,Tetragonula,Tetragonula,1,Tetragonula
162,162,"Effect of bee species on the physicochemical, bioactive, and microbiological properties of longan honey in Thailand",2026,10.1016/j.jfca.2026.108998,Scopus,Multiple,Multiple,2,Heterotrigona; Tetragonula
163,163,"Cytogenetic characterization of two partamona species (Hymenoptera, Apinae, Meliponini) by fluorochrome staining and localization of 18S rDNA Clusters by FISH",2005,10.1508/cytologia.70.373,Scopus,Partamona,Partamona,1,Partamona
164,164,"Longitudinal differentiation in Melipona mandacaia (Hymenoptera, Meliponini) chromosomes",2003,10.1034/j.1601-5223.2003.01699.x,Scopus,Multiple,Multiple,2,Melipona; Scaptotrigona
165,165,Identification of chemosensory genes in the stingless bee Tetragonisca fiebrigi,2024,10.1093/g3journal/jkae060,Scopus,Tetragonisca,Tetragonisca,1,Tetragonisca
166,166,"Maturation of honey from Uruçú-Amarela (Melipona mondury): Metagenomics, metabolomics by NMR 1H, physicochemical and antioxidant properties",2023,10.1016/j.fochms.2022.100157,Scopus,Melipona,Melipona,1,Melipona
167,167,"Karyotypes and Chromosomal Mapping of Some Repetitive DNAs in Two Stingless Bee Species (Apidae: Meliponini), with the Description of a B Chromosome in Plebeia Genus",2025,10.1159/000542295,Scopus,Multiple,Multiple,2,Frieseomelitta; Plebeia
168,168,"Glycerol-3-phosphate dehydrogenase (G-3-PDH; EC 1.1.1.8) variation in adult Plebeia droryana bees (Apidae, hymenoptera)",1989,10.1007/bf02399676,Scopus,Plebeia,Plebeia,1,Plebeia
169,169,Cytotaxonomy and karyotype evolution in Neotropical Meliponini (Hymenoptera: Apidae) inferred by chromosomal mapping of 18S rDNA and five microsatellites,2024,10.1080/00218839.2023.2179228,Scopus,Tetragonisca,Tetragonisca,1,Tetragonisca
170,170,Caste-specific gene expression in the stingless bee Melipona quadrifasciata - Are there common patterns in highly eusocial bees?,2004,10.1007/s00040-004-0771-z,Scopus,Multiple,Multiple,2,Melipona; Scaptotrigona
171,171,"Whole-Genome sequence of Bacillus sp. SDLI1, isolated from the social bee Scaptotrigona depilis",2016,10.1128/genomea.00174-16,Scopus,Scaptotrigona,Scaptotrigona,1,Scaptotrigona
172,172,Positive selection in cytochrome P450 genes is associated with gonad phenotype and mating strategy in social bees,2023,10.1038/s41598-023-32898-6,Scopus,Melipona,Melipona,1,Melipona
173,173,Multilocus species delimitation in Mesoamerican Scaptotrigona stingless bees (Apidae: Meliponini) supports the existence of cryptic species,2017,10.1111/syen.12201,Scopus,Scaptotrigona,Scaptotrigona,1,Scaptotrigona
174,174,Isolation and characterization of microsatellite markers from the stingless bee Nannotrigona testaceicornis,2009,10.1007/s12686-009-9023-x,Scopus,Nannotrigona,Other_rare_genera,1,Nannotrigona
175,175,Structural Variations in Complete Mitogenome of Stingless Bees Serve as Auxiliary Molecular Markers for Generic Systematics,2026,10.2478/jas-2026-0004,Scopus,Multiple,Multiple,5,Frieseomelitta; Lepidotrigona; Melipona; Tetragonisca; Tetragonula
176,176,The evolution of haploid chromosome numbers in Meliponini,2019,10.1371/journal.pone.0224463,Scopus,Melipona,Melipona,1,Melipona
177,177,Occurrence of deformed wing virus variants in the stingless bee melipona subnitida and honey bee Apis mellifera populations in Brazil,2019,10.1099/jgv.0.001206,Scopus,Melipona,Melipona,1,Melipona
178,178,Genetic variability in captive populations of the stingless bee Tetragonisca angustula,2016,10.1007/s10709-016-9908-z,Scopus,Tetragonisca,Tetragonisca,1,Tetragonisca
179,179,"Mitochondrial DNA characterization of two Partamona species (Hymenoptera, Apidae, Meliponini) by PCR+RFLP and sequencing",2005,10.1051/apido:2005020,Scopus,Multiple,Multiple,3,Melipona; Partamona; Scaptotrigona
180,180,Resolving taxonomic ambiguity and cryptic speciation of Hypotrigona species through morphometrics and DNA barcoding; [Resolviendo la ambigüedad taxonómica y la especiación críptica de las especies de Hypotrigona a través de la morfometría y el código de barras de ADN],2018,10.1080/00218839.2018.1426348,Scopus,Hypotrigona,Other_rare_genera,1,Hypotrigona
181,181,"Comparative cytogenetic analysis reveals chromosomal variability in five stingless bees of the genus Trigona (Apidae, Apinae, Meliponini)",2023,10.1007/s13592-023-01002-2,Scopus,Trigona,Trigona,1,Trigona
182,182,"Analyses of G-bands in Chromosomes of the Melipona quadrifasciata anthidioides Lepeletier (Hymenoptera, Apidae, Meliponinae)",1979,10.1508/cytologia.44.21,Scopus,Melipona,Melipona,1,Melipona
183,183,Chromosomal variation and cytogenetics of plebeia lucii and P. phrynostoma (Hymenoptera: Apidae),2013,10.1653/024.096.0439,Scopus,Plebeia,Plebeia,1,Plebeia
184,184,Transcriptomic analysis of Malpighian tubules from the stingless bee Melipona scutellaris reveals thiamethoxam-induced damages,2022,10.1016/j.scitotenv.2022.158086,Scopus,Melipona,Melipona,1,Melipona
185,185,Epigenetic modifications and their relation to caste and sex determination and adult division of labor in the stingless bee Melipona scutellaris,2017,10.1590/1678-4685-gmb-2016-0242,Scopus,Melipona,Melipona,1,Melipona
186,186,"Potential DNA Barcoding of Local Stingless Honeybee (Tantadan) from Kiulu, Sabah using 28S Ribosomal DNA",2019,10.1088/1742-6596/1358/1/012023,Scopus,Multiple,Multiple,3,Heterotrigona; Lepidotrigona; Tetragonula
187,187,"Cytogenetic Analysis in Trigona spinipes Fabricius (Hymenoptera, Meliponina) Reveals Intraspecific Variation",2021,10.1007/s13744-021-00853-7,Scopus,Trigona,Trigona,1,Trigona
188,188,Retroelement expansions underlie genome evolution in stingless bees,2026,10.1186/s12864-025-12478-w,Scopus,Melipona,Melipona,1,Melipona
189,189,Diploid male production of two amazonian melipona bees (Hymenoptera: Apidae),2012,10.1155/2012/484618,Scopus,Melipona,Melipona,1,Melipona
190,190,Sex determination in bees. IV. Genetic control of juvenile hormone production in Melipona quadrifasciata (Apidae),1975,,Scopus,Melipona,Melipona,1,Melipona
