doc_index,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,doc_id,article_id,title,year,source_database,genus_raw,genus_for_stm,mentioned_genera,journal,doi
1,0.12330990123076285,0.0012542510902910943,0.002721272721035118,0.2224435837263767,0.011535919244868598,0.6178037284549349,0.012816920000476196,0.0036113520402225,2.7229548476805277e-5,0.004475841942555625,1,1,"Nuclear mitochondrial DNA: An Achilles' heel of molecular systematics, phylogenetics, and phylogeographic studies of stingless bees",2012,Scopus,Melipona,Melipona,Melipona,APIDOLOGIE,10.1007/s13592-012-0122-4
2,0.0011107432530465403,0.0028438581210652562,0.9823879106428167,6.433136960031589e-4,5.495343517709773e-6,0.003441138043959094,0.004539221852360733,0.0017047729531917716,0.003305690008424184,1.7856085614684806e-5,2,2,"Detection, replication and quantification of deformed wing virus-A, deformed wing virus-B, and black queen cell virus in the endemic stingless bee, Melipona colimana, from Jalisco, Mexico",2021,Scopus,Melipona,Melipona,Melipona,INTERNATIONAL JOURNAL OF TROPICAL INSECT SCIENCE,10.1007/s42690-020-00320-7
3,0.20262649997158758,3.568878039348871e-5,0.0030867754586182536,8.5187689726119e-4,0.0019908621673627967,0.010943392230841583,0.7684672416474196,0.010488915432586007,1.1670715444136641e-4,0.0013920402594880948,3,3,"Pleistocene climate changes shaped the population structure of Partamona seridoensis (Apidae, Meliponini), an endemic stingless bee from the Neotropical dry forest",2017,Scopus,Partamona,Partamona,Partamona,PLOS ONE,10.1371/journal.pone.0175725
4,0.004321242761510403,1.7254538818574735e-4,0.0013202595907878603,0.0024438800456707648,0.0026976802752454684,0.593988543179056,0.10645975734806286,0.0021755974107939423,9.890432118659816e-4,0.2854314507888208,4,4,Mitochondrial DNA polymorphism among populations of melipona quadrifasciata quadrifasciata lepeletier (Apidae: Meliponini) from Southern Brazil; [Polimorfi smo do DNA mitocondrial entre populações de melipona quadrifasciata quadrifasciata Lepeletier (Apidae: Meliponini) do Sul do Brasil],2009,Scopus,Melipona,Melipona,Melipona,NEOTROPICAL ENTOMOLOGY,10.1590/s1519-566x2009000200007
5,0.002264988817940293,0.5856466319703891,0.3827991888955659,0.004129798498754016,2.604603965804276e-5,0.007123540224699943,0.0010043638581898817,0.0024394994812965243,0.014527656441972434,3.828577153342382e-5,5,5,"Honey characterization and identification of fructophilic lactic acid bacteria of fresh samples from Melipona beecheii, Scaptotrigona pectoralis, Plebeia llorentei, and Plebeia jatiformis hives",2023,Scopus,Multiple,Multiple,Melipona; Plebeia; Scaptotrigona,FRONTIERS IN SUSTAINABLE FOOD SYSTEMS,10.3389/fsufs.2023.1113920
6,0.005967199481230119,0.0013175650209809957,0.009937677464672686,0.00812747632419333,0.0013462943300174208,0.8636135582166882,0.10189411442480825,6.932855944625077e-4,7.024142668163621e-4,0.0064004148761306395,6,6,"Stingless bees (Hymenoptera: Apidae) in South and West Sulawesi, Indonesia: morphology, nest structure, and molecular characteristics",2021,Scopus,Multiple,Multiple,Lepidotrigona; Tetragonula; Wallacetrigona,JOURNAL OF APICULTURAL RESEARCH,10.1080/00218839.2020.1816272
7,0.007032797228357134,0.009665943912292117,0.3638700112732498,0.06277561527736779,3.0513344127285998e-5,0.5345693291382451,0.016386698033854896,0.0016378154853621827,0.0036257004167037617,4.0557589044047806e-4,7,7,TAXONOMIC STATUS OF STINGLESS BEE LEPIDOTRIGONA ARCIFERA (HYMENOPTERA: MELIPONINI) FROM THE SOUTHWEST CHINA - TIBETAN PLATEAU,2024,Scopus,Lepidotrigona,Other_rare_genera,Lepidotrigona,JOURNAL OF APICULTURAL SCIENCE,10.2478/jas-2024-0008
8,0.43899266513034113,2.787240632838369e-4,0.007340382883942626,0.027875645540206967,0.0029310955116219634,0.00919959265886481,0.38206168598264295,0.12872196520634743,0.0017113156953654457,8.86927327383182e-4,8,8,"Gene Flow Between Populations With Highly Divergent Mitogenomes in the Australian Stingless Bee, Tetragonula hockingsi",2024,Scopus,Tetragonula,Tetragonula,Tetragonula,ECOLOGY AND EVOLUTION,10.1002/ece3.70475
9,0.007595495909946637,7.759150123803742e-4,1.6869550659197045e-4,0.006027880049951409,0.9733606308166088,0.005082108265591319,0.0029495015727449237,0.0027385676137786563,3.508972796260065e-4,9.503079727801581e-4,9,9,Repetitive DNAs in Melipona scutellaris (Hymenoptera: Apidae: Meliponidae): chromosomal distribution and test of multiple heterochromatin amplification in the genus,2018,Scopus,Melipona,Melipona,Melipona,APIDOLOGIE,10.1007/s13592-018-0577-z
10,0.0040290442340678335,5.402453966658879e-4,7.764945027609129e-5,0.0024064760126883975,0.9865462971914573,0.0023032729870706183,0.0014762964799074983,0.0016291981768754415,3.005100695862248e-4,6.91010001405073e-4,10,10,Comparative molecular cytogenetics of Melipona Illiger species (Hymenoptera: Apidae),2018,Scopus,Melipona,Melipona,Melipona,SOCIOBIOLOGY,10.13102/sociobiology.v65i4.3480
11,0.04765877436322668,0.001128723575884231,0.0013204145392482626,0.9410549569252722,0.0012711441476940283,0.005335767691969924,8.011581291253052e-4,0.001330384754789981,8.45927030750758e-5,1.4083169715414122e-5,11,11,"The Mitochondrial Genome of Melipona fasciculata (Apidae, Meliponini): Genome Organization and Comparative Analyses, Phylogenetic Implications and Divergence Time Estimations",2025,Scopus,Melipona,Melipona,Melipona,BIOCHEMICAL GENETICS,10.1007/s10528-024-10991-3
12,0.004164236250231309,0.003094861762580244,0.024972513104868813,0.10709908293700712,0.0012007605656297108,0.09633116997980812,0.006745157026970607,0.7526554619473789,3.092243206397719e-4,0.003427532104885717,12,12,"Insights into the Melipona scutellaris (Hymenoptera, Apidae, Meliponini) fat body transcriptome",2013,Scopus,Melipona,Melipona,Melipona,GENETICS AND MOLECULAR BIOLOGY,10.1590/s1415-47572013000200022
13,0.0044802335731493545,3.998075054641569e-4,6.295349466908258e-5,0.0016856762069891074,0.9880886697657767,0.0018406999441016824,0.0013490638020304967,0.0012671543500591498,2.6002117755775575e-4,5.657201802026974e-4,13,13,Comparative cytogenetics in three Melipona species (Hymenoptera: Apidae) with two divergent heterochromatic patterns,2018,Scopus,Melipona,Melipona,Melipona,GENETICS AND MOLECULAR BIOLOGY,10.1590/1678-4685-gmb-2017-0330
14,0.24424469321017425,0.0015668538205871794,0.17303009429312513,0.014217264954082093,0.0032292782883058405,0.23307807782824613,0.3133710760916222,0.007324399341808068,4.727535068219697e-4,0.00946550866522766,14,14,Barcoding stingless bees: Genetic diversity of the economically important genus Scaptotrigona in Mesoamerica,2013,Scopus,Scaptotrigona,Scaptotrigona,Scaptotrigona,APIDOLOGIE,10.1007/s13592-012-0146-9
15,0.004844340209452044,1.1064040467192124e-5,0.004306988490578864,2.8581814180050213e-4,7.733865285965364e-5,0.003542875000590356,0.9831116775403501,8.666223493684941e-4,5.625779122951885e-4,0.0023906976622373355,15,15,"Exploring genetic and morphometric variations in Partamona ailyae, a widely distributed neotropical stingless bee of South America",2025,Scopus,Partamona,Partamona,Partamona,JOURNAL OF INSECT CONSERVATION,10.1007/s10841-025-00687-3
16,0.34006480324115124,1.512738958628819e-4,0.008582578368724628,0.003130429566742407,0.0021530148755118934,0.00821800778068741,0.6201219755736063,0.013261594845719841,0.0020792287094481845,0.0022370931425448825,16,16,Unveiling the Genetic Structure and Ecological Niche Diversification of the Stingless Bee Tetragonisca angustula (Meliponini) in Peruvian Amazon,2025,Scopus,Tetragonisca,Tetragonisca,Tetragonisca,JOURNAL OF BIOGEOGRAPHY,10.1111/jbi.70107
17,0.007287292107247783,8.247569777777165e-5,0.0042318220430209086,0.1591968069013629,0.001088307749796647,0.3605872862223038,0.45565695738694356,0.0031960948642529878,2.9293594723557803e-6,0.008670027667821014,17,17,Population structure of the stingless bee (Tetragonula pagdeni Schwarz) in Thailand determined by cytochrome b and ATPase6–tRNAASP sequence analysis,2014,Scopus,Tetragonula,Tetragonula,Tetragonula,INTERNATIONAL JOURNAL OF INTEGRATIVE BIOLOGY,
18,9.244462363521984e-4,0.010167362682232148,0.009568852539960059,1.161628718940636e-4,0.0020563255725677162,0.0011528622960822158,0.0014089428756740565,0.0028522264345701826,0.9712569106087465,4.959078819210769e-4,18,18,Loss and gain of gut bacterial phylotype symbionts in afrotropical stingless bee species (Apidae: Meliponinae),2021,Scopus,Multiple,Multiple,Dactylurina; Hypotrigona; Liotrigona; Meliponula,MICROORGANISMS,10.3390/microorganisms9122420
19,0.0034171124916606986,0.0046128636209168275,0.9361584060244945,9.66735425848137e-4,1.244673386673747e-5,0.021087860276572768,0.023683270256362368,0.008322263685914271,0.00136641374470792,3.726277396552483e-4,19,19,First detection of honey bee viruses in stingless bees in North America,2015,Scopus,Scaptotrigona,Scaptotrigona,Scaptotrigona,JOURNAL OF APICULTURAL RESEARCH,10.1080/00218839.2015.1100154
20,1.3084409171241226e-5,4.4075300858643175e-4,7.052309788875858e-4,1.4870487991399354e-5,0.002965600985538835,0.0033424845973281845,0.006116535258736968,0.0024841826409276167,1.6531182942325169e-6,0.9839156045145375,20,20,Biochemical genetic differentiation in the Trigona atripes species group of Malaysian stingless bees (insecta: hymenoptera: apidae),1991,Scopus,Trigona,Trigona,Trigona,COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY -- PART B: BIOCHEMISTRY AND,10.1016/0305-0491(91)90345-e
21,0.011047670058326626,0.0015038400338238693,0.07352895025498804,0.00845587080814254,7.38892619491523e-4,0.28254133469921155,0.5730224710529264,0.039806347890782016,0.001338286528117166,0.008016336054189893,21,21,Genetic variability of melipona subnitida (hymenoptera: Apidae) in introduced and native populations,2018,Scopus,Melipona,Melipona,Melipona,JOURNAL OF INSECT SCIENCE,10.1093/jisesa/iey089
22,0.001298209972747647,7.422058532616197e-4,0.0023882678721481735,0.0017583876330957702,9.124054355112594e-4,7.266113013380992e-4,0.0014945028340511703,0.9891091248970224,0.0014531633561609316,1.1712084466285064e-4,22,22,"Exploring integument transcriptomes, cuticle ultrastructure, and cuticular hydrocarbons profiles in eusocial and solitary bee species displaying heterochronic adult cuticle maturation",2019,Scopus,Frieseomelitta,Frieseomelitta,Frieseomelitta,PLOS ONE,10.1371/journal.pone.0213796
23,0.004332715310279304,0.0018645388957456946,0.0014247686971142275,0.9843911161492787,5.711632681507623e-4,0.005714393156338932,2.1773550222397323e-4,0.0013913471485465275,8.521585623797332e-5,7.006016084158486e-6,23,23,"The nuclear and mitochondrial genome assemblies of Tetragonisca angustula (Apidae: Meliponini), a tiny yet remarkable pollinator in the Neotropics",2024,Scopus,Tetragonisca,Tetragonisca,Tetragonisca,BMC GENOMICS,10.1186/s12864-024-10502-z
24,0.0063530377074625015,0.0012012624238429482,0.06515583568078401,0.0015810182919476963,4.43084086379025e-4,0.012287923754689803,0.25004384026926835,0.6564165961504053,0.0018710980296431,0.00464630360557703,24,24,Relatedness and dispersal distance of eusocial bee males on mating swarms,2016,Scopus,Tetragonisca,Tetragonisca,Tetragonisca,ENTOMOLOGICAL SCIENCE,10.1111/ens.12195
25,0.009287438867805156,2.2907588017358427e-5,0.0018841633779505735,0.0022936600145522625,9.793146611274727e-4,0.46342543766300753,0.42626777157962975,0.0015628254136840626,2.554374825557219e-4,0.09402104335167026,25,25,Intraspecific variation in the stingless bee Melipona beecheii assessed with PCR-RFLP of the ITS1 ribosomal DNA,2009,Scopus,Melipona,Melipona,Melipona,APIDOLOGIE,10.1051/apido/2009036
26,0.002592988185911233,1.3513368359933042e-4,0.0012333953344369555,0.001341969297211839,0.0018441651140373929,0.001960412646617607,0.009402755743087611,0.9746623577414839,9.098640836084153e-4,0.005916958170005469,26,26,Intraspecific queen parasitism in a highly eusocial bee,2011,Scopus,Melipona,Melipona,Melipona,BIOLOGY LETTERS,10.1098/rsbl.2010.0819
27,0.009071465560424775,0.0017117219316699307,0.05915155033364637,0.0031782400669560953,2.0204430226142863e-4,0.6984432246019199,0.21994963951151036,0.0021220882540147145,4.707009849507381e-4,0.005699324452645717,27,27,Identification of stingless bees (Hymenoptera: Apidae) in Kenya using morphometrics and DNA barcoding; [Identificación de las abejas sin aguijón (Hymenoptera: Apidae) en Kenia usando morfometría y ADN barcoding (código de barras molecular)],2017,Scopus,Multiple,Multiple,Dactylurina; Meliponula; Plebeina,JOURNAL OF APICULTURAL RESEARCH,10.1080/00218839.2017.1327939
28,0.20667877866711581,0.001918302890913504,9.582946740604666e-4,0.02756870788483989,0.6645923815582505,0.08690589148275804,0.007886894118147521,0.001084065652267547,0.0013067322157407808,0.0010999508559062265,28,28,"Chromosome Evolution in the Genus Partamona (Apidae: Meliponini), with Comments on B Chromosome Origin",2022,Scopus,Partamona,Partamona,Partamona,CYTOGENETIC AND GENOME RESEARCH,10.1159/000520552
29,0.002016568276619861,0.0024376909856007934,0.016136755779085833,0.00556824063637475,4.4431178153483015e-4,0.9598475824480892,0.010351495899138074,3.8434450937457974e-4,5.568652572592414e-4,0.002256144426922466,29,29,Mitochondrial polymorphism in tetragonisca angustula and tetragonisca weyrauchi (Apidae) in northern Brazil,2020,Scopus,Tetragonisca,Tetragonisca,Tetragonisca,GENETICS AND MOLECULAR RESEARCH,10.4238/gmr18495
30,0.7346428009744366,3.678052046573151e-5,4.065757581743113e-4,0.0040501030413282475,0.15820988385334053,0.014008887601612311,0.06989537173521858,0.008654098581979665,6.97509989646638e-4,0.009397987943797259,30,30,"Genome size estimation of three stingless bee species (Hymenoptera, Meliponinae) by flow cytometry",2009,Scopus,Multiple,Multiple,Melipona; Scaptotrigona,APIDOLOGIE,10.1051/apido/2009030
31,0.0034705626453266124,2.372043910924461e-4,8.192467488910067e-5,9.098151003608333e-4,0.8678206925303598,0.006957445236799176,0.014971826015381436,0.00395641706187936,2.3170840014887832e-4,0.10136240394376259,31,31,Karyotype description of cephalotrigona femorata Smith (Hymenoptera: Apidae) and the C-banding pattern as a specific marker for Cephalotrigona,2013,Scopus,Cephalotrigona,Other_rare_genera,Cephalotrigona,SOCIOBIOLOGY,10.13102/sociobiology.v60i1.125-127
32,0.3082495766939363,5.191540174983882e-4,1.709158835064945e-4,0.00615441294507649,0.6799769290069906,9.171906843395463e-4,3.355689378789441e-4,8.246775673205514e-4,0.002585072871793137,2.665013916586709e-4,32,32,An intraspecific origin of B chromosomes in Tetragonisca fiebrigi (Apidae: Meliponini) inferred from cytogenetic and nuclear genome size data,2026,Scopus,Tetragonisca,Tetragonisca,Tetragonisca,SCIENTIFIC REPORTS,10.1038/s41598-026-39709-8
33,0.0046314690764424895,4.293166044850389e-5,0.0695087527203035,5.0450485464175424e-5,1.2737973437780195e-4,0.009089246865843609,0.829807994372745,0.004778650310468142,0.05337504081049488,0.028588083963411816,33,33,"Does beekeeping reduce genetic variability in Melipona scutellaris (Apidae, Meliponini)?",2009,Scopus,Melipona,Melipona,Melipona,GENETICS AND MOLECULAR RESEARCH : GMR,10.4238/vol8-2kerr006
34,0.0020569119213882246,5.498790461274753e-4,0.006247466162871383,1.5125095561393457e-4,0.006784696869468617,0.0870186306856971,0.12364454675551993,0.00560576953488132,0.006142317102699038,0.761798530965733,34,34,"Genetic analysis of Melipona quadrifasciata LEP. (Hymenoptera: Apidae, Meliponinae) with RAPD markers",2002,Scopus,Melipona,Melipona,Melipona,BRAZILIAN JOURNAL OF BIOLOGY,10.1590/s1519-69842002000500022
35,6.229712666162851e-4,0.98696336885297975,0.003303895224225072,0.0025793473569545194,2.2333653136381756e-4,0.0018824603833704065,4.468273600003563e-5,4.788852998250506e-4,0.003875309481511518,2.5742867153490126e-5,35,35,Quantification of bioactive components and evaluation of microbial community and antibacterial activity from Heterotrigona itama and Tetrigona binghami honeys,2023,Scopus,Heterotrigona,Heterotrigona,Heterotrigona,INTERNATIONAL JOURNAL OF FOOD SCIENCE AND TECHNOLOGY,10.1111/ijfs.16325
36,0.003638857796275873,0.007037856816885897,0.03661999858274234,0.004950531685266364,0.0021644592725084794,0.10737073386209833,0.019892515875304856,0.5185121257626739,0.2946214806838037,0.00519143966243992,36,36,Evaluation of reference genes for gene expression analysis by real-time quantitative PCR (qPCR) in three stingless bee species (Hymenoptera: Apidae: Meliponini),2019,Scopus,Multiple,Multiple,Frieseomelitta; Melipona; Scaptotrigona,SCIENTIFIC REPORTS,10.1038/s41598-019-53544-0
37,0.008851594044770116,0.003045805527280674,0.0021708074055792094,0.024672273610768628,0.6804860028517975,0.11753534738669612,0.0838290206519866,0.016777082282139456,0.0056333218517992415,0.05699874438718228,37,37,"Comparative study on the physical mapping of ribosomal genes and repetitive sequences in Friesella schrottkyi (Friese 1900) (Hymenoptera: Apidae, Meliponini)",2021,Scopus,Friesella,Other_rare_genera,Friesella,ZOOLOGISCHER ANZEIGER,10.1016/j.jcz.2021.04.006
38,5.735983815996319e-4,0.0018556839201501185,0.002087729941009289,4.2248944185495874e-5,0.0061493217791,0.009188723984319372,0.016151622533060454,0.009199107804316174,0.4734305086425469,0.4813214540697125,38,38,Isoenzymes and cytochemical analysis in Tetragonisca angustula and Tetragonisca fiebrigi after herbicide contamination,2011,Scopus,Tetragonisca,Tetragonisca,Tetragonisca,SOCIOBIOLOGY,
39,0.6298003282632428,2.587547115084875e-4,8.837944049287749e-4,0.017801237429611563,0.28168099597199137,0.007246111286441249,0.021824866905373615,0.037285531064784834,1.7219375976469168e-4,0.0030461862023528356,39,39,"Genome size diversity in stingless bees (Hymenoptera: Apidae, Meliponini)",2012,Scopus,Multiple,Multiple,Melipona; Paratrigona,APIDOLOGIE,10.1007/s13592-012-0145-x
40,0.00608190571952416,0.005353468255588314,0.0037407746132175203,0.7942402888290602,0.0014507838537975966,0.18535583894072866,0.0022321217438010994,0.0010890527192627378,2.6368244264407526e-4,1.9208288237604462e-4,40,40,"The complete mitochondrial genome of Trigonisca nataliae (Hymenoptera, Apidae) assemblage reveals heteroplasmy in the control region",2023,Scopus,Multiple,Multiple,Melipona; Trigonisca,GENE,10.1016/j.gene.2023.147621
41,2.1987979099953143e-5,6.888736029842749e-4,0.0011566114775980096,2.6423112475309605e-5,0.004098958591494384,0.004158594860933413,0.0076489015228970005,0.004758844839279657,2.332203216297769e-6,0.9774384718100217,41,41,Glycerol-3-phosphate dehydrogenase (G-3-PDH; EC 1.1.1.8) variation in Brazilian stingless bees and in wasp species,1991,Scopus,Tetragona,Other_rare_genera,Tetragona,BIOCHEMICAL GENETICS,10.1007/bf00590105
42,0.015817663910032257,5.6940677530002554e-6,0.0032821579318663553,0.0015744490735626637,4.92667177256019e-4,0.05647916186859637,0.9094511232423369,0.0018519111833910334,1.2270536712997746e-5,0.011032901008492014,42,42,Genetic and phenotypic differentiation in endemic Scaptotrigona hellwegeri (Apidae: Meliponini): Implications for the conservation of stingless bee populations in contrasting environments,2012,Scopus,Scaptotrigona,Scaptotrigona,Scaptotrigona,INSECT CONSERVATION AND DIVERSITY,10.1111/j.1752-4598.2011.00179.x
43,0.005896511993506444,2.49922419327519e-4,2.2828520461376387e-4,0.005139252060242474,0.09811516390959145,0.00815039551369918,0.007602611866028044,0.8300635040946036,0.002633160832250587,0.041921192106137165,43,43,Sequence and expression pattern of the germ line marker vasa in honey bees and stingless bees,2009,Scopus,Melipona,Melipona,Melipona,GENETICS AND MOLECULAR BIOLOGY,10.1590/s1415-47572009005000043
44,5.8790154098787575e-5,2.0495812019570055e-4,2.784573485397524e-4,3.427851201363114e-5,0.00506940334575082,0.008739604148438726,0.010541256055271798,0.005005742926751521,2.2733363779962727e-5,0.9700447760251593,44,44,Evidence of hybridization between two species of Melipona bees,2000,Scopus,Melipona,Melipona,Melipona,GENETICS AND MOLECULAR BIOLOGY,10.1590/s1415-47572000000100014
45,0.007156699624311391,1.648310298678163e-5,0.002626953799077659,0.08367380011320048,7.954706482605275e-4,0.3595627067159825,0.5273052679619474,0.00214270998256897,7.0125791887863285e-6,0.016712895472475748,45,45,Genetic differentiation of the stingless bee tetragonula pagdeni in Thailand using SSCP analysis of a large subunit of mitochondrial ribosomal DNA,2011,Scopus,Tetragonula,Tetragonula,Tetragonula,BIOCHEMICAL GENETICS,10.1007/s10528-011-9425-9
46,0.019158372389612377,8.045350032004351e-4,0.001650887817500184,0.08308733503701446,0.031143341097526176,0.8222708640146574,0.011430377607401525,0.003735522596477173,5.501256830976812e-5,0.026663751868300296,46,46,Mitochondrial DNA restriction and genomic maps of seven species of Melipona (Apidae: Meliponini),2004,Scopus,Multiple,Multiple,Melipona; Scaptotrigona,APIDOLOGIE,10.1051/apido:2004027
47,0.0022325455413868796,0.001355144144604134,0.00391693422813252,0.002891789209469481,4.425358643418402e-4,5.770533120187884e-4,0.001723196966592131,0.9826184915833448,0.0041606466532472545,8.166249686210366e-5,47,47,Reproductive potential shapes the expression of nurse-to-forager transition genes in the workers of stingless bees (Meliponini),2023,Scopus,Multiple,Multiple,Frieseomelitta; Melipona,APIDOLOGIE,10.1007/s13592-023-01021-z
48,0.001951474309653223,0.0012609477313179215,0.009275658005267608,4.825085234110087e-5,0.002906078637896358,0.002258084716952749,0.0553894882885603,0.0033322070770170297,0.9188425188885715,0.004735291492421995,48,48,"The composition of bacteria in gut and beebread of stingless bees (Apidae: Meliponini) from tropics Yunnan, China",2021,Scopus,Multiple,Multiple,Lepidotrigona; Tetragonula,"ANTONIE VAN LEEUWENHOEK, INTERNATIONAL JOURNAL OF GENERAL AND MOLECULAR MICROBIOLOGY",10.1007/s10482-021-01602-x
49,0.0055832736872339075,6.37324717461055e-4,0.007551393988254625,0.002884158450598364,0.0011604898304205635,0.24673016751472765,0.6740996006517791,0.0012458259348503045,0.002629627931851451,0.057478137292822924,49,49,"Genetic diversity of Melipona mandacaia, Smith 1863 in natural and rational breeding populations",2024,Scopus,Melipona,Melipona,Melipona,CURRENT SCIENCE,10.18520/cs/v126/i12/1479-1484
50,0.0029767578553714074,0.0037540672176361403,0.3118795967724256,2.1633141355565917e-4,2.3684246266516756e-4,0.0034490926337491746,0.0300379056709027,0.006402397026595626,0.6404628937888733,5.841151582252904e-4,50,50,Longitudinal survey reveals delayed effects of low gene expression on stingless bee colony health,2022,Scopus,Melipona,Melipona,Melipona,JOURNAL OF APICULTURAL RESEARCH,10.1080/00218839.2021.1962123
51,0.7887113195580278,0.002990245324481701,0.004289801179411227,0.1763709440259774,0.012763134924892361,0.006836843866405252,5.9219933286322e-4,0.0031982692990286197,0.004155057851636729,9.218463727484643e-5,51,51,Conserved but mechanistically diverse piRNA defence against endogenous retroviruses in insects,2026,Scopus,Tetragonula,Tetragonula,Tetragonula,EMBO REPORTS,10.1038/s44319-026-00741-4
52,0.5475201424520781,3.957183622146965e-4,0.004662994206198116,0.01109354396801926,0.0027677170145958886,0.002741446656826655,0.07320583725490168,0.3544556901324445,0.0026494413035481118,5.074686491728803e-4,52,52,Multi-Omic Analysis Reveals Population Differentiation and Signatures of Social Evolution in Tetragonula Stingless Bees,2025,Scopus,Tetragonula,Tetragonula,Tetragonula,MOLECULAR ECOLOGY,10.1111/mec.17823
53,0.15621914378420576,2.3424503764173007e-5,0.004396168235166145,2.479685289336039e-4,0.0011358781590744237,0.004841071376500659,0.8291450514493371,0.0029414007221515875,1.3542155707501328e-4,9.144716837919119e-4,53,53,Fragmentation in the clouds? The population genetics of the native bee Partamona bilineata (Hymenoptera: Apidae: Meliponini) in the cloud forests of Guatemala,2017,Scopus,Partamona,Partamona,Partamona,CONSERVATION GENETICS,10.1007/s10592-017-0950-x
54,0.006037506654286564,0.0017311933967751544,0.0043814477485743545,0.002634665898937482,0.012301195989192208,0.3733799361288172,0.410871039307414,0.0020381379771086555,0.004574302780551491,0.18205057411834297,54,54,DNA barcoding reveals long-term speciation processes in subspecies of the Melipona (Michmelia) seminigra complex (Hymenoptera: Apidae),2022,Scopus,Melipona,Melipona,Melipona,EUROPEAN JOURNAL OF ENTOMOLOGY,10.14411/eje.2022.032
55,0.15477297984277436,3.2683500423026916e-6,0.0011938983631328557,6.010665236058601e-4,0.003493926923615833,0.011874742753330374,0.8119216145021575,0.003466505988515898,1.4965790948808264e-4,0.012522338843336787,55,55,"Genetic structure of Partamona helleri (Apidae, Meliponini) from Neotropical Atlantic rainforest",2010,Scopus,Partamona,Partamona,Partamona,INSECTES SOCIAUX,10.1007/s00040-010-0098-x
56,0.0024992031630447684,0.0012294453206219728,5.353014059201556e-4,0.08596217599415072,0.008998226106093455,0.025900031113387165,0.007543499186832298,0.7835528836889442,0.0020812826929311403,0.081697951328074,56,56,"Farnesoic Acid O-Methyl Transferase (FAMeT) isoforms: Conserved traits and gene expression patterns related to caste differentiation in the stingless bee, Melipona scutellaris",2008,Scopus,Melipona,Melipona,Melipona,ARCHIVES OF INSECT BIOCHEMISTRY AND PHYSIOLOGY,10.1002/arch.20224
57,0.015391560166580642,4.1825380506870565e-4,0.03210321686951267,0.0018139454655618384,0.003993243203509853,0.07317798675654787,0.6734675565916189,0.029390276195728218,0.0036422312766121964,0.16660172966925887,57,57,"A scientific note on the isolation and characterization of microsatellite loci of Frieseomelitta varia (Hymenoptera, apidae, Meliponini)",2011,Scopus,Frieseomelitta,Frieseomelitta,Frieseomelitta,APIDOLOGIE,10.1007/s13592-011-0008-x
58,0.003924562614881291,1.4938669104995787e-4,1.1420111348512372e-4,0.9726962800509049,0.004831195278582595,0.01238063386242504,3.721416636185263e-4,0.005250882435002008,8.066970515359902e-6,2.726493195347397e-4,58,58,Mitochondria tRNA gene translocations in highly eusocial bees,2006,Scopus,Melipona,Melipona,Melipona,GENETICS AND MOLECULAR BIOLOGY,10.1590/s1415-47572006000300030
59,0.18855928044633277,3.3912864570178575e-5,0.0038340856920998498,6.225145386303967e-4,0.001842897718793451,0.008985357583912256,0.7882639994983991,0.0060611526521039735,8.515701479955028e-5,0.00171164199035867,59,59,"Phylogeography of Partamona rustica (Hymenoptera, Apidae), an endemic stingless bee from the neotropical dry forest diagonal",2016,Scopus,Partamona,Partamona,Partamona,PLOS ONE,10.1371/journal.pone.0164441
60,0.816222715916375,2.76176983730446e-4,8.230482594697671e-4,0.010909299270167016,0.12331590169950528,0.030643254077188334,0.00871590966465319,0.005196193422812203,3.4330726692519675e-5,0.0038631699794056894,60,60,"Molecular phylogeny of the stingless bees (Apidae, Apinae, Meliponini) inferred from mitochondrial 16S rDNA sequences",2003,Scopus,Multiple,Multiple,Austroplebeia; Axestotrigona; Heterotrigona; Hypotrigona; Lepidotrigona; Meliplebeia; Plebeia; Plebeina; Trigona,APIDOLOGIE,10.1051/apido:2002051
61,0.019339961973337965,2.6148729010730263e-5,0.004294720037022659,3.004930181776247e-4,6.779293881253062e-4,0.004962599482371102,0.9658681603845419,0.0013064680762078795,0.0011350161692161261,0.002088502741988911,61,61,"Is the São Francisco River a historical barrier to gene flow for populations of Melipona mandacaia Smith, 1863 (Hymenoptera: Apidae)?",2023,Scopus,Melipona,Melipona,Melipona,JOURNAL OF INSECT CONSERVATION,10.1007/s10841-023-00466-y
62,0.006277521819188805,0.0034378646777067584,0.019800756026921704,0.927582465454332,7.070416168426653e-4,0.02538391647067338,0.003363841198977752,0.01335065527512531,3.481155697825017e-5,6.112590325322801e-5,62,62,"Complete mitochondrial genome sequence of Melipona scutellaris, a Brazilian stingless bee",2016,Scopus,Melipona,Melipona,Melipona,MITOCHONDRIAL DNA,10.3109/19401736.2015.1018233
63,0.0031163772237532516,7.305929555896847e-4,2.5524585044711803e-4,0.005131851630542603,0.2683424527952116,0.32298943607627706,0.009035034160328387,0.0031375281813250215,3.0583375621191507e-4,0.3869556473703137,63,63,"A RAPD marker associated with B chromosomes in Partamona helleri (Hymenoptera, Apidae)",2004,Scopus,Partamona,Partamona,Partamona,CYTOGENETIC AND GENOME RESEARCH,10.1159/000079299
