"edge_id","parent","child","descendant_genera","edge_count_mean","edge_mapped_value_mean","edge_color","basal_compression"
56,70,71,"Dactylurina; Meliponula",3.5,1.497866136777,"#00D4C3",1.8
57,71,27,"Dactylurina",3,1.38629436111989,"#00D2D1",1.8
58,71,28,"Meliponula",4,1.6094379124341,"#00D8B3",1.8
59,70,29,"Plebeiella",0,0,"#3132FF",1.8
60,66,72,"Austroplebeia; Lisotrigona; Ebaiotrigona; Liotrigona",2,0.895879734614027,"#06B3FF",1.8
61,72,73,"Austroplebeia; Lisotrigona; Ebaiotrigona",2,0.828302216596,"#0AA7FF",1.8
62,73,74,"Austroplebeia; Lisotrigona",2.5,0.895879734614027,"#06B3FF",1.8
63,74,30,"Austroplebeia",5,1.79175946922805,"#00DD9B",1.8
64,74,31,"Lisotrigona",0,0,"#3132FF",1.8
65,73,32,"Ebaiotrigona",1,0.693147180559945,"#1096FF",1.8
66,72,33,"Liotrigona",2,1.09861228866811,"#00C9F6",1.8
67,65,34,"Hypotrigona",6,1.94591014905531,"#00E188",1.8
68,64,75,"Heterotrigona; Wallacetrigona; Homotrigona; Papuatrigona; Pariotrigona; Tetragonula",13.8333333333333,1.85922263618385,"#00DF93",1.8
69,75,76,"Heterotrigona; Wallacetrigona; Homotrigona",11.6666666666667,1.97296461809105,"#00E286",1.8
70,76,77,"Heterotrigona; Wallacetrigona",16.5,2.41014078280252,"#4FE950",1.8
71,77,35,"Heterotrigona",30,3.43398720448515,"#FFC900",1.8
72,77,36,"Wallacetrigona",3,1.38629436111989,"#00D2D1",1.8
73,76,37,"Homotrigona",2,1.09861228866811,"#00C9F6",1.8
74,75,78,"Papuatrigona; Pariotrigona; Tetragonula",16,1.74548065427665,"#00DCA3",1.8
75,78,79,"Papuatrigona; Pariotrigona",1,0.693147180559945,"#1096FF",1.8
76,79,38,"Papuatrigona",1,0.693147180559945,"#1096FF",1.8
77,79,39,"Pariotrigona",1,0.693147180559945,"#1096FF",1.8
78,78,40,"Tetragonula",46,3.85014760171006,"#FF9300",1.8
